Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,1,7,1,1,0,7
1,0,20,6,1,1,3
2,4,10,8,9,0,30
3,0,0,0,0,0,1
4,6,2,1,0,0,9
