Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,25,33,2,122,142,1
1,103,13,6,45,6,5
2,7,42,1,34,17,1
3,134,34,17,86,21,1
4,1,0,0,0,1,0
5,0,0,0,1,0,0
6,0,0,0,0,1,0
7,0,1,0,1,1,0
8,18,18,1,37,3,1
9,0,0,0,0,1,0
