Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,1,2,3,6,0,18
1,4,11,5,3,0,14
2,0,19,6,1,1,4
3,3,2,1,0,0,4
4,3,5,1,1,0,10
