Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,1,2,2,0,7
1,4,2,1,0,0,5
2,2,6,5,1,0,15
3,0,22,5,2,1,6
4,1,2,2,5,0,2
5,2,6,1,1,0,9
6,0,0,0,0,0,1
7,2,0,0,0,0,5
