Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,4,31,14,10,1,34
1,6,7,2,1,0,15
2,0,1,0,0,0,0
3,1,0,0,0,0,0
4,0,0,0,0,0,1
