Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,0,0,0,1,0,0
1,0,0,0,1,0,0
10,1,7,0,12,3,0
11,1,5,0,7,6,1
12,1,0,0,0,0,0
13,5,3,2,16,2,1
14,23,4,1,19,6,1
15,2,4,0,13,2,2
16,13,8,2,8,0,3
17,0,0,0,0,4,0
18,6,0,0,1,0,0
19,0,0,0,10,3,0
2,0,11,0,0,0,0
20,1,6,0,20,8,1
21,0,0,0,0,1,0
22,0,0,0,0,3,0
23,0,0,0,0,1,0
24,1,0,0,0,0,0
25,0,0,0,0,1,0
26,1,0,0,0,0,0
27,1,0,0,0,0,0
28,0,0,0,0,9,0
29,1,0,0,0,0,0
3,0,5,0,0,0,0
30,1,0,0,0,0,0
31,8,0,0,0,0,0
32,0,0,0,0,7,0
33,20,0,2,1,0,0
34,0,3,0,2,2,0
35,1,0,0,0,0,0
36,1,0,0,0,0,0
37,1,0,0,0,0,0
38,0,0,0,0,1,0
39,1,0,0,0,0,0
4,0,0,0,1,0,0
40,0,0,0,1,0,0
41,1,0,0,0,0,0
42,1,0,0,0,0,0
43,1,0,0,0,0,0
44,1,0,0,0,0,0
45,1,0,0,0,0,0
46,1,0,0,0,0,0
47,1,0,0,0,0,0
48,1,0,0,0,0,0
49,1,0,0,0,0,0
5,0,1,0,0,0,0
50,10,5,0,13,2,0
51,1,0,0,0,0,0
52,3,15,1,3,1,0
53,0,0,0,4,1,0
54,0,0,0,1,2,0
55,1,0,0,0,0,0
56,0,0,0,1,0,0
57,9,6,3,1,3,0
58,3,0,0,0,0,0
59,0,0,0,1,1,0
6,0,0,0,2,0,0
60,0,0,0,1,7,0
61,0,0,0,0,5,0
62,0,0,0,0,1,0
63,0,0,0,1,3,0
64,1,0,0,0,1,0
65,18,2,0,6,0,0
66,1,1,2,10,0,0
67,0,0,0,0,1,0
68,0,0,0,0,1,0
69,11,2,1,23,7,0
7,2,18,1,8,10,0
70,13,0,0,0,1,0
71,2,2,0,11,4,0
72,19,0,0,1,0,0
73,0,1,0,11,3,0
74,35,1,2,4,0,0
75,19,5,2,8,0,0
76,0,0,0,0,3,0
77,0,0,0,0,3,0
78,0,0,0,0,1,0
79,0,0,0,0,1,0
8,1,2,1,11,2,0
80,0,0,0,0,1,0
81,0,0,0,14,3,0
82,0,0,0,1,1,0
83,0,0,0,0,1,0
84,0,1,0,3,0,0
85,0,0,0,0,9,0
86,24,1,0,2,0,0
87,1,1,0,4,0,0
88,1,4,1,16,4,0
89,0,0,0,1,14,0
9,4,6,0,14,0,0
90,0,0,0,1,1,0
91,7,4,4,12,8,0
92,3,6,1,21,8,0
93,0,0,0,2,12,0
94,0,1,0,1,1,0
95,0,0,1,0,0,0
96,0,0,0,0,7,0
