Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,0,1,1,8,52,0
1,102,11,5,52,11,4
2,109,15,12,74,16,0
3,34,24,2,50,3,3
4,24,2,1,9,21,0
5,13,44,5,32,6,0
6,3,27,1,45,32,0
7,3,17,0,56,52,2
