Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,1,11,4,4,0,305
1,6,3,1,0,0,168
2,4,7,7,5,0,79
3,0,17,11,5,3,257
4,0,0,0,0,0,2
5,0,0,0,0,0,1
6,0,0,0,0,0,1
7,0,0,0,0,0,3
8,2,6,0,1,0,69
9,0,0,0,0,0,1
