Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,0,0,0,0,1
1,0,0,0,0,0,1
10,0,2,1,0,0,20
11,1,0,0,2,0,17
12,0,0,0,0,0,1
13,1,0,2,0,0,26
14,2,0,0,0,0,52
15,0,0,0,0,0,23
16,4,2,0,0,0,28
17,0,0,0,0,0,4
18,0,0,0,0,0,7
19,0,0,0,0,0,13
2,3,0,3,0,0,5
20,0,0,1,1,0,34
21,0,0,0,0,0,1
22,0,0,0,0,0,3
23,0,0,0,0,0,1
24,0,0,0,0,0,1
25,0,0,0,0,0,1
26,0,0,0,0,0,1
27,0,0,0,0,0,1
28,0,0,0,0,0,9
29,0,0,0,0,0,1
3,0,0,0,0,0,5
30,0,0,0,0,0,1
31,0,0,0,0,0,8
32,0,0,0,0,0,7
33,0,1,1,0,0,21
34,0,1,0,0,0,6
35,0,0,0,0,0,1
36,0,0,0,0,0,1
37,0,0,0,0,0,1
38,0,0,0,0,0,1
39,0,0,0,0,0,1
4,0,0,0,0,0,1
40,0,0,0,0,0,1
41,0,0,0,0,0,1
42,0,0,0,0,0,1
43,0,0,0,0,0,1
44,0,0,0,0,0,1
45,0,0,0,0,0,1
46,0,0,0,0,0,1
47,0,0,0,0,0,1
48,0,0,0,0,0,1
49,0,0,0,0,0,1
5,1,0,0,0,0,0
50,0,3,0,1,0,26
51,0,0,0,0,0,1
52,0,13,0,0,0,10
53,0,0,0,0,0,5
54,0,0,0,0,0,3
55,0,0,0,0,0,1
56,0,0,0,0,0,1
57,0,4,1,1,0,16
58,0,0,0,0,0,3
59,0,0,0,0,0,2
6,0,0,0,0,0,2
60,0,0,0,0,0,8
61,0,0,0,0,0,5
62,0,0,0,0,0,1
63,0,0,0,0,0,4
64,0,0,0,0,0,2
65,0,2,0,0,0,24
66,0,0,1,0,1,12
67,0,0,0,0,0,1
68,0,0,0,0,0,1
69,0,0,1,0,0,43
7,0,6,2,5,0,26
70,0,0,0,0,0,14
71,0,0,0,0,0,19
72,0,0,0,0,0,20
73,0,1,0,0,0,14
74,0,0,0,0,0,42
75,0,1,3,0,1,29
76,0,0,0,0,0,3
77,0,0,0,0,0,3
78,0,0,0,0,0,1
79,0,0,0,0,0,1
8,0,1,0,1,0,15
80,0,0,0,0,0,1
81,0,0,0,0,0,17
82,0,0,0,0,0,2
83,0,0,0,0,0,1
84,0,1,0,0,0,3
85,0,0,0,0,0,9
86,0,0,0,0,1,26
87,0,0,1,0,0,5
88,0,1,1,1,0,23
89,0,0,0,0,0,15
9,1,0,0,0,0,23
90,0,0,0,0,0,2
91,0,3,3,2,0,27
92,0,2,2,1,0,34
93,0,0,0,0,0,14
94,0,0,0,0,0,3
95,0,0,0,0,0,1
96,0,0,0,0,0,7
