Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,4,31,17,11,2,38
1,6,7,2,1,0,19
2,0,1,0,0,0,0
3,1,0,0,0,0,0
4,0,0,0,0,0,1
