Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,2,2,1,0,0,5
1,0,2,1,1,0,8
10,0,0,0,2,0,5
11,3,11,3,2,0,3
12,1,4,5,0,0,5
13,0,8,3,1,2,4
14,0,0,0,0,0,1
15,0,1,0,0,0,2
16,0,0,0,0,0,1
17,0,2,1,0,0,2
18,0,0,1,0,0,0
19,0,0,0,0,0,1
2,1,0,0,1,0,6
3,1,1,0,2,0,2
4,1,0,0,0,0,0
5,1,0,0,1,0,6
6,0,4,0,1,0,2
7,0,0,0,0,0,1
8,0,0,3,0,0,0
9,1,4,1,1,0,4
