Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,125,114,13,168,59,9
1,0,0,0,1,0,0
2,162,27,14,153,132,0
3,1,0,0,0,0,0
4,0,0,0,0,1,0
5,0,0,0,1,0,0
6,0,0,0,1,0,0
7,0,0,0,1,0,0
8,0,0,0,1,0,0
9,0,0,0,0,1,0
