Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,0,1,0,0,0,0
1,88,7,2,30,6,1
2,11,37,3,112,55,1
3,102,26,13,57,14,0
4,30,24,2,52,2,3
5,24,3,1,14,79,0
6,31,7,5,32,8,3
7,2,36,1,29,29,1
