Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,0,4,0,8,0,0
1,0,5,0,0,0,0
10,3,2,0,0,4,0
11,3,4,1,4,1,1
12,0,1,0,2,0,0
13,13,5,1,23,5,3
14,23,4,2,12,1,2
15,7,0,2,4,0,0
16,0,0,0,0,1,0
17,4,2,0,16,0,0
18,2,0,0,0,0,0
19,2,0,0,0,1,0
2,0,5,0,0,0,0
20,2,0,0,0,0,0
21,1,0,0,0,0,0
22,1,0,0,1,0,0
23,0,0,0,1,8,0
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,0,0,0,0,1,0
27,0,3,0,2,0,0
28,0,0,0,4,2,0
29,15,0,2,0,2,0
3,0,0,0,1,0,0
30,4,8,0,26,3,2
31,1,0,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,0,0,0,0,1,0
35,0,0,0,1,0,0
36,9,0,0,1,1,0
37,0,0,0,1,0,0
38,1,0,0,0,0,0
39,2,0,0,0,0,0
4,0,8,0,7,0,0
40,1,0,0,0,0,0
41,1,0,0,0,0,0
42,1,0,0,0,0,0
43,1,0,0,0,0,0
44,1,0,0,0,0,0
45,10,26,4,19,17,1
46,1,0,0,3,1,0
47,1,0,0,0,0,0
48,1,0,0,0,0,0
49,1,0,0,0,0,0
5,0,1,0,0,0,0
50,1,0,0,0,0,0
51,9,0,1,4,3,0
52,0,0,0,0,3,0
53,12,6,2,25,3,0
54,2,2,0,8,2,0
55,22,1,0,9,10,0
56,1,0,0,8,9,0
57,1,0,1,7,13,0
58,17,0,0,1,2,0
59,21,1,1,11,15,0
6,0,6,0,3,0,0
60,11,2,3,5,3,0
61,4,1,0,12,28,0
62,10,4,2,4,13,0
63,17,3,0,17,14,0
64,38,7,4,45,21,0
65,0,0,0,0,1,0
7,0,0,0,3,0,0
8,3,27,1,10,3,0
9,3,3,0,18,1,0
