Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,0,3,1,0,5
1,3,16,8,1,2,17
2,3,3,3,1,0,16
3,4,13,4,4,0,11
4,1,7,1,5,0,9
