Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,3,0,0,0,13,0
1,20,50,0,45,5,0
2,84,18,10,90,40,0
3,86,61,12,109,40,8
4,79,9,4,64,92,0
5,1,0,0,3,1,0
6,0,0,0,1,1,0
7,0,0,0,1,0,0
8,15,3,1,12,1,1
9,0,0,0,1,0,0
