Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,1,0,1,0,0,14
1,1,0,0,2,0,5
10,0,0,0,0,0,28
11,0,0,0,0,0,31
12,0,1,0,0,0,25
13,3,4,0,0,1,23
14,1,8,2,1,0,38
15,0,0,0,0,0,9
16,0,0,0,0,0,12
17,1,0,0,0,0,21
18,0,0,0,1,0,13
19,2,4,1,1,0,18
2,0,0,0,2,0,10
20,0,0,0,0,0,4
21,0,1,1,2,0,43
22,0,0,0,0,0,11
23,0,0,0,0,0,3
24,0,1,0,0,0,4
25,0,0,1,0,0,29
26,0,0,0,0,0,5
27,0,1,0,0,0,13
28,0,0,0,0,0,2
29,0,0,0,0,0,2
3,1,0,0,0,0,17
30,0,0,1,1,0,9
31,0,0,0,0,0,3
32,0,0,0,0,0,1
33,0,0,0,0,0,2
34,0,0,0,0,0,5
35,0,0,0,0,0,4
36,0,1,0,0,0,2
37,0,0,1,0,0,15
38,0,1,0,0,0,23
39,0,0,0,0,0,16
4,0,0,0,0,0,10
40,0,0,0,0,0,4
41,0,0,0,0,1,51
42,0,0,0,0,0,3
43,0,0,0,0,0,5
44,0,0,0,0,0,21
45,0,0,0,0,0,8
46,0,0,0,0,0,19
47,0,0,0,0,0,15
48,0,0,0,0,0,6
49,0,0,0,0,0,1
5,0,5,1,0,0,9
50,0,0,0,0,0,3
51,0,0,0,0,0,9
52,0,4,1,1,0,26
53,0,0,0,1,0,0
54,0,0,0,0,0,11
55,0,0,0,0,0,10
56,0,0,0,0,0,9
57,0,0,0,0,0,4
58,0,0,0,0,0,2
59,0,0,1,0,0,14
6,0,0,0,1,0,16
60,0,0,0,0,0,4
61,0,0,0,0,0,3
62,0,1,4,0,0,23
63,0,0,0,0,0,8
64,0,0,0,0,0,17
65,0,0,0,0,0,1
66,0,0,0,0,0,2
67,0,0,0,0,0,8
68,0,0,1,0,0,10
69,0,0,0,0,0,3
7,2,4,3,0,0,38
8,1,8,4,2,1,43
9,0,0,0,0,0,10
