Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,2,7,4,6,0,22
1,0,0,2,0,0,1
2,8,32,10,5,2,30
3,0,0,3,1,0,3
4,1,0,0,0,0,2
