Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,286,139,27,322,180,9
1,1,2,0,0,4,0
2,0,0,0,2,1,0
3,0,0,0,0,2,0
4,0,0,0,1,4,0
5,0,0,0,1,0,0
6,0,0,0,0,1,0
7,1,0,0,0,1,0
