Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,3,0,0,0,0,9
1,3,0,0,0,0,2
10,0,1,0,1,0,7
11,1,0,0,1,0,12
12,0,0,0,0,0,3
13,1,3,0,0,0,46
14,2,0,0,0,0,42
15,0,0,0,0,0,13
16,0,0,0,0,0,1
17,0,1,0,1,0,20
18,0,0,0,0,0,2
19,0,0,0,0,0,3
2,0,0,0,0,0,5
20,0,0,0,0,0,2
21,0,0,0,0,0,1
22,0,0,0,0,0,2
23,0,0,0,0,0,9
24,0,0,0,0,0,1
25,0,0,0,0,0,1
26,0,0,0,0,0,1
27,0,1,0,0,0,4
28,0,0,0,0,0,6
29,0,1,0,0,0,18
3,0,0,0,0,0,1
30,2,2,1,1,0,37
31,0,0,0,0,0,1
32,0,0,0,0,0,1
33,0,0,0,0,0,1
34,0,0,0,0,0,1
35,0,0,0,0,0,1
36,0,0,0,0,0,11
37,0,0,0,0,0,1
38,0,0,0,0,0,1
39,0,0,0,0,0,2
4,0,1,0,0,0,14
40,0,0,0,0,0,1
41,0,0,0,0,0,1
42,0,0,0,0,0,1
43,0,0,0,0,0,1
44,0,0,0,0,0,1
45,0,25,2,2,0,48
46,0,0,0,0,0,5
47,0,0,0,0,0,1
48,0,0,0,0,0,1
49,0,0,0,0,0,1
5,1,0,0,0,0,0
50,0,0,0,0,0,1
51,0,0,1,0,0,16
52,0,0,0,0,0,3
53,0,1,2,0,1,44
54,0,0,0,0,0,14
55,0,0,1,0,0,41
56,0,0,0,0,0,18
57,0,0,1,0,0,21
58,0,0,0,0,0,20
59,0,0,0,0,0,49
6,0,1,0,0,0,8
60,0,0,2,2,0,20
61,0,0,0,0,0,45
62,0,1,2,0,0,30
63,0,0,2,0,0,49
64,0,1,4,2,2,106
65,0,0,0,0,0,1
7,0,0,0,0,0,3
8,0,5,5,5,0,29
9,0,0,0,0,0,25
