Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,7,11,7,8,0,111
1,0,0,1,0,0,83
2,0,27,1,2,0,190
3,0,1,5,0,1,146
4,1,0,0,0,0,22
5,0,2,4,0,1,68
6,0,0,5,4,1,114
7,0,1,0,1,0,41
8,5,2,0,0,0,61
9,0,0,0,0,0,50
