Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,57,13,6,61,21,0
1,7,12,1,28,11,0
2,73,10,4,59,48,0
3,1,21,0,41,0,0
4,35,4,4,30,64,0
5,20,1,0,4,4,0
6,84,25,10,65,7,8
7,11,55,2,38,38,1
