Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,1,0,0,0,0,3
1,6,7,2,1,0,19
2,0,10,8,3,2,9
3,0,1,1,3,0,5
4,0,12,1,0,0,0
5,0,0,0,0,0,1
6,0,4,5,2,0,3
7,4,5,2,3,0,18
