Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,0,6,0,10,0,0
1,0,4,0,2,2,0
10,3,0,0,13,11,1
11,29,0,0,1,0,1
12,0,3,0,18,4,1
13,12,6,4,6,3,0
14,17,13,7,10,1,2
15,5,0,0,3,1,0
16,12,0,0,0,0,0
17,19,1,0,0,2,0
18,1,1,0,0,12,0
19,2,13,1,10,0,0
2,1,9,0,1,1,0
20,0,0,0,0,4,0
21,1,4,1,36,5,0
22,0,1,0,4,6,0
23,0,0,0,1,2,0
24,0,3,0,1,1,0
25,1,3,0,14,12,0
26,1,0,0,4,0,0
27,1,1,0,2,10,0
28,0,0,0,2,0,0
29,0,2,0,0,0,0
3,0,8,0,9,0,1
30,0,3,0,6,2,0
31,1,0,0,1,1,0
32,0,0,0,1,0,0
33,1,0,0,0,1,0
34,0,0,0,5,0,0
35,0,0,0,4,0,0
36,0,1,0,1,1,0
37,15,1,0,0,0,0
38,20,1,1,2,0,0
39,16,0,0,0,0,0
4,0,2,1,1,6,0
40,0,0,0,0,4,0
41,47,1,2,2,0,0
42,2,0,0,1,0,0
43,0,0,0,1,4,0
44,4,0,0,14,3,0
45,0,0,0,0,8,0
46,16,0,0,2,1,0
47,13,0,0,1,1,0
48,0,0,0,0,6,0
49,0,0,0,0,1,0
5,1,7,0,4,3,0
50,0,0,0,3,0,0
51,0,0,0,1,8,0
52,3,5,1,22,1,0
53,0,0,1,0,0,0
54,0,0,0,0,11,0
55,10,0,0,0,0,0
56,1,0,0,7,1,0
57,0,0,0,0,4,0
58,0,0,0,0,2,0
59,0,2,0,7,6,0
6,1,3,0,8,4,1
60,0,0,0,3,1,0
61,0,0,0,2,1,0
62,4,5,2,13,4,0
63,1,0,0,3,4,0
64,0,0,0,3,14,0
65,1,0,0,0,0,0
66,1,0,0,0,1,0
67,0,0,0,0,8,0
68,0,1,0,10,0,0
69,2,0,0,1,0,0
7,6,12,3,25,0,1
8,17,19,3,18,1,1
9,0,0,0,7,3,0
