Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,0,0,0,0,16
1,7,4,5,2,0,80
2,0,2,11,4,3,222
3,6,37,3,9,0,283
4,0,1,4,0,0,243
5,0,0,0,0,0,5
6,0,0,0,0,0,2
7,0,0,0,0,0,1
8,0,0,0,0,0,33
9,0,0,0,0,0,1
