Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,1,0,0,0,0,1
1,12,40,8,11,0,53
2,0,0,0,0,0,1
3,0,1,0,0,0,0
4,0,3,15,4,3,13
