Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,6,66,2,61,8,1
1,27,2,4,20,31,0
2,56,38,6,94,19,7
3,50,7,3,47,46,0
4,19,1,0,1,2,0
5,24,8,3,33,7,0
6,57,9,4,41,13,0
7,4,2,0,4,33,0
8,40,7,5,12,3,1
9,5,1,0,13,31,0
