Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,13,40,8,11,0,52
1,0,3,15,4,3,14
2,0,1,0,0,0,0
3,0,0,0,0,0,1
4,0,0,0,0,0,1
