Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,0,4,0,8,0,0
1,0,5,0,0,0,0
10,3,4,1,4,1,1
11,0,1,0,2,0,0
12,13,5,1,23,5,3
13,23,4,2,12,1,2
14,7,0,2,4,0,0
15,4,2,0,16,0,0
16,2,0,0,0,0,0
17,2,0,0,0,0,0
18,0,0,0,1,8,0
19,0,0,0,0,1,0
2,0,5,0,0,0,0
20,0,3,0,2,0,0
21,0,0,0,4,2,0
22,15,0,2,0,2,0
23,4,8,0,26,3,2
24,0,0,0,1,0,0
25,10,0,0,1,1,0
26,0,0,0,1,0,0
27,10,26,4,19,17,1
28,1,0,0,3,1,0
29,9,0,1,4,4,0
3,0,0,0,1,0,0
30,0,0,0,0,3,0
31,12,6,2,25,3,0
32,2,2,0,8,2,0
33,22,1,0,9,10,0
34,1,0,0,8,9,0
35,2,0,1,7,13,0
36,17,0,0,1,2,0
37,21,1,1,11,15,0
38,11,2,3,5,3,0
39,23,2,0,12,30,0
4,0,8,0,7,0,0
40,10,4,2,4,13,0
41,17,3,0,17,14,0
42,38,7,4,46,21,0
43,0,0,0,0,1,0
5,0,6,0,3,0,0
6,0,0,0,3,0,0
7,3,27,1,10,3,0
8,3,3,0,18,1,0
9,3,2,0,0,4,0
