Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,2,5,1,2,5
1,1,35,4,6,0,18
2,7,3,0,1,0,13
3,3,0,0,0,0,7
4,0,1,8,3,1,4
5,1,2,2,4,0,14
6,0,0,2,0,0,5
7,1,1,2,0,0,2
