Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,163,28,14,155,134,0
1,21,3,0,0,3,0
10,1,1,0,0,0,0
11,0,0,0,0,1,0
12,0,2,0,1,0,0
13,0,0,0,0,1,0
14,1,5,0,5,3,2
15,2,1,0,3,3,0
16,0,16,1,3,0,0
17,2,5,0,3,4,0
18,0,0,0,1,0,0
19,2,7,0,3,0,0
2,16,9,1,25,1,1
20,0,4,0,1,0,0
21,3,1,0,0,0,0
22,0,0,0,1,0,0
23,0,0,0,0,1,0
24,0,0,0,0,1,0
25,0,0,0,0,1,0
26,11,0,3,5,0,0
27,11,0,1,0,0,1
28,0,2,0,2,0,0
29,3,1,0,7,0,1
3,0,0,0,2,0,0
30,0,4,0,6,0,0
31,0,0,0,0,1,0
32,5,4,0,14,0,0
33,0,0,0,5,1,0
34,0,0,0,0,1,0
35,0,0,0,0,2,0
36,0,2,0,1,0,0
37,0,0,0,1,0,0
38,0,0,0,1,0,0
39,0,0,0,0,1,0
4,0,0,0,0,1,0
40,3,11,0,8,14,0
41,1,0,0,0,0,0
42,0,2,1,4,1,0
43,21,12,3,15,4,1
44,1,2,0,1,2,1
45,0,0,0,1,4,0
46,2,0,0,0,0,0
47,0,6,0,4,0,0
48,2,1,1,4,0,0
49,0,0,0,1,0,0
5,0,0,0,0,1,0
50,8,4,2,8,3,1
51,0,0,0,1,0,0
52,0,0,0,1,0,0
53,1,0,0,5,0,0
54,1,0,0,0,0,0
55,0,0,0,2,0,0
56,1,6,0,13,0,1
57,2,1,0,0,0,0
6,0,1,0,3,3,0
7,4,0,0,4,0,0
8,0,0,0,3,1,0
9,0,0,0,3,0,0
