Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,287,141,27,322,192,9
1,1,0,0,0,0,0
2,0,0,0,1,0,0
3,0,0,0,1,0,0
4,0,0,0,0,1,0
5,0,0,0,1,0,0
6,0,0,0,1,0,0
