Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,65,10,5,51,46,0
1,48,32,6,74,4,6
2,20,1,0,5,6,0
3,24,4,4,12,3,1
4,21,3,2,25,50,0
5,79,14,7,76,34,0
6,20,75,3,61,47,1
7,11,2,0,22,3,1
