Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,7,32,4,4,0,24
1,5,9,4,7,0,28
2,0,2,12,4,3,9
3,0,1,3,0,0,5
4,1,0,0,0,0,2
