Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,3,15,5,3,468
1,2,1,0,0,0,24
10,0,0,0,1,0,1
11,0,0,0,0,0,1
12,0,0,0,1,0,2
13,0,0,0,0,0,1
14,0,4,0,0,0,12
15,0,0,0,0,0,9
16,2,0,2,3,0,13
17,0,3,1,0,0,10
18,0,0,0,0,0,1
19,1,3,1,0,0,7
2,2,3,0,0,0,48
20,0,0,0,0,0,5
21,0,0,0,0,0,4
22,0,0,0,0,0,1
23,0,0,0,0,0,1
24,0,0,0,0,0,1
25,0,0,0,0,0,1
26,1,1,0,0,0,17
27,1,0,0,0,0,12
28,0,0,0,0,0,4
29,0,1,0,0,0,11
3,0,0,0,0,0,2
30,0,3,1,0,0,6
31,0,0,0,0,0,1
32,2,0,0,0,0,21
33,0,0,0,0,0,6
34,0,0,0,0,0,1
35,0,0,0,0,0,2
36,0,0,0,0,0,3
37,0,0,0,0,0,1
38,0,0,0,0,0,1
39,0,0,0,0,0,1
4,0,0,0,0,0,1
40,0,4,1,3,0,28
41,0,0,0,0,0,1
42,0,0,1,1,0,6
43,0,14,0,1,0,41
44,0,0,1,0,0,6
45,0,0,0,0,0,5
46,0,0,0,0,0,2
47,0,0,0,0,0,10
48,0,0,0,0,0,8
49,0,0,0,0,0,1
5,0,0,0,0,0,1
50,0,1,0,0,0,25
51,0,0,0,0,0,1
52,0,0,0,0,0,1
53,0,0,0,0,0,6
54,0,0,0,0,0,1
55,0,0,0,0,0,2
56,2,2,0,0,0,17
57,0,1,0,0,0,2
6,0,0,0,0,0,7
7,0,0,0,0,0,8
8,0,0,0,0,0,4
9,0,0,0,0,0,3
