Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,0,2,4,2,0,79
1,1,1,0,1,0,115
2,10,34,14,8,2,241
3,0,0,0,0,1,125
4,0,1,0,0,0,41
5,2,6,3,4,0,165
6,0,0,0,0,0,70
7,0,0,2,0,0,50
