Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,4,16,5,3,1,9
1,0,1,1,1,0,7
2,2,3,2,1,0,9
3,0,6,0,1,0,2
4,0,0,1,1,0,4
5,2,12,5,1,0,11
6,2,1,0,3,0,7
7,1,0,2,0,0,1
