Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,234,103,23,141,28,6
1,1,5,0,11,1,0
2,9,22,3,98,60,2
3,4,0,0,30,8,0
4,20,0,0,1,1,0
5,2,7,1,27,65,0
6,4,4,0,18,26,1
7,14,0,0,0,0,0
8,0,0,0,0,1,0
9,0,0,0,0,3,0
