Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,9,28,11,4,1,22
1,0,0,0,0,0,2
2,1,10,2,4,0,16
3,0,0,3,0,0,0
4,1,1,0,3,0,10
