Inferred,crime,gothic,multi,non_genre,scifi,sensation
0,2,11,2,26,46,0
1,23,3,1,25,65,1
2,62,87,17,123,15,5
3,108,0,3,9,6,0
4,35,1,1,4,1,0
5,8,35,1,90,44,2
6,4,2,0,49,15,0
7,46,2,2,0,1,1
