,term,score
33424,daguerre,0.274647616
15817,photography,0.26760537
31010,mr,0.264171161
2715,photographic,0.218309644
32565,process,0.216622305
461,camera,0.169013918
17981,light,0.15019515
39802,plate,0.149914058
36237,________________,0.140844931
27878,daguerreotype,0.133802685
17228,portrait,0.118886134
5479,portraits,0.118014984
25188,art,0.115493419
6706,silver,0.101251405
12326,experiments,0.100155934
37077,produced,0.097629471
12354,discovery,0.097480037
36413,sarony,0.091549205
2887,rays,0.089896191
748,picture,0.089679816
30828,miniature,0.086502796
41147,artist,0.080539988
25011,paper,0.079324478
3218,taken,0.077781282
2087,niepce,0.077464712
20179,photogenic,0.077464712
3076,pictures,0.074136081
24832,seen,0.071734997
8898,obscura,0.070422466
29692,�rst,0.070422466
39910,mercury,0.070422466
37157,action,0.065898739
28143,photographer,0.063380219
34059,carrick,0.063380219
21075,arago,0.063380219
15155,plated,0.063380219
9773,great,0.061837968
21786,time,0.061837968
24789,plates,0.061292858
19701,vapour,0.061292858
5346,invention,0.061292858
30573,glass,0.060407177
16089,obtained,0.057525549
33566,results,0.056822029
20327,artists,0.056395531
12838,hyposulphite,0.056337973
37768,nitrate,0.056337973
6474,applications,0.055972398
8574,chemical,0.055972398
39088,photographs,0.055642185
22330,painter,0.052451104
39912,means,0.052169835
27097,subject,0.052072151
12463,solution,0.051695903
16057,likeness,0.049855476
24810,iodine,0.049295726
23252,impressions,0.049034286
25713,copper,0.049034286
35172,objects,0.048814735
13210,negative,0.048080179
7048,apparatus,0.048080179
18112,new,0.047076092
17925,paris,0.046020439
41762,present,0.044783162
20323,solar,0.044513748
32522,image,0.044338762
22659,prepared,0.043932492
32384,beautiful,0.043932492
38189,reference,0.043709253
38594,science,0.043324461
21286,soda,0.043243589
23186,impression,0.041880794
27264,perfect,0.041730599
20297,beard,0.040885652
25466,photograph,0.040707198
32921,images,0.039714089
26771,result,0.039661973
8811,success,0.039661973
803,ordinary,0.038659194
39141,attention,0.038659194
12214,placed,0.038440931
14538,specimens,0.037597021
37429,state,0.037183349
40819,gill,0.037065934
28047,degree,0.036611052
11503,likenesses,0.035618799
39769,�xing,0.035211233
18026,cyanide,0.035211233
18033,ste,0.035211233
37007,croix,0.035211233
5562,operations,0.034967403
13474,artistic,0.034967403
23870,gentleman,0.034714768
38301,dark,0.034704459
20886,face,0.034117499
41610,nature,0.03362578
15028,electricity,0.033385311
16953,lens,0.033385311
1991,accuracy,0.032897393
31724,sensitive,0.032689524
5899,exhibited,0.032689524
16157,obtain,0.032689524
25872,details,0.032689524
11002,having,0.03129795
11708,fact,0.03129795
20855,engraving,0.030888278
32628,davy,0.030888278
21524,baldwin,0.030888278
21910,exquisite,0.030680293
7552,aid,0.030664239
29745,views,0.030664239
26644,tints,0.030596477
36339,tint,0.030530399
15666,fidelity,0.030530399
6262,public,0.03050921
35795,like,0.029852812
11225,given,0.029746679
15580,years,0.029746679
21033,sun,0.029142342
9656,observed,0.028994396
19333,painting,0.028994396
4420,character,0.028928973
9268,london,0.028928973
28149,value,0.028928973
32541,surface,0.028882974
1206,different,0.028689787
16987,scenery,0.028603334
18415,effect,0.028284103
28026,known,0.028284103
11652,published,0.028197765
37659,production,0.028197765
28937,transferred,0.028197765
32010,painters,0.028197765
4503,beatty,0.028168986
25887,etching,0.028168986
7472,arti�cer,0.028168986
20110,chloride,0.028168986
7815,photographers,0.028168986
2337,potassium,0.028168986
37245,wedgwood,0.028168986
11944,talbot,0.027821093
15678,bernard,0.027821093
28838,colours,0.027458289
31300,following,0.027458289
10794,just,0.027267789
10457,valuable,0.027257102
33834,positive,0.027257102
2393,application,0.026845256
5218,operation,0.026845256
20358,features,0.026845256
3486,fixing,0.026225552
32552,specimen,0.026225552
39425,scientific,0.026225552
35357,certain,0.026081625
32007,parts,0.026081625
36055,colour,0.026081625
38369,natural,0.026036076
38901,difficulty,0.025772796
36626,skill,0.025772796
19750,exposed,0.025772796
7399,day,0.025588125
20416,metallic,0.025441999
23808,lectures,0.025441999
36412,position,0.025272602
5423,brilliant,0.025272602
12603,use,0.024788899
37252,taking,0.024788899
20020,purpose,0.024788899
15933,acid,0.024710622
24584,processes,0.024710622
34944,experts,0.024710622
20700,1839,0.024710622
