volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
uc1.b3578940,1906,1915,1869,1906,m,uk,76625,0.751766517036,1,1,329,"Blackwood, Algernon,",The empty house,pbgothic | teamblack | stew
nyp.33433074937446,1832,1832,1804,1832,m,uk,59574,0.54042251405,0,1,328,"Disraeli, Benjamin,",Contarini Fleming;,teamred | random
mdp.39015033367668,1791,1791,1729,1791,f,uk,50017,0.225093711541,1,1,328,"Reeve, Clara,",The school for widows,stangothic | teamblack
uiuo.ark+=13960=t3xs6cp6m,1803,1803,1770,1803,f,uk,29561,0.402944703587,1,1,329,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",teamred | stangothic | stew
uc2.ark+=13960=t6154fk9b,1853,1853,1803,1853,m,uk,123445,0.369035306869,0,1,326,"Lytton, Edward Bulwer Lyt","""My novel,""",teamred | random
uiuo.ark+=13960=t8w95tz11,1803,1803,1772,1803,m,uk,55051,0.607820318758,1,1,329,"Walker, George,",Don Raphael,teamred | stangothic
uc1.b3575698,1826,1826,1764,1826,f,uk,16607,0.645729917538,1,1,323,"Radcliffe, Ann Ward,",Gaston de Blondeville,teamred | pbgothic | stew
22708,1987,1987,1947,1987,m,us,113804,0.582514733553,1,1,327,"King, Stephen,",Misery,teamred | pbgothic | chihorror
mdp.39015063967478,1820,1820,1779,1820,m,uk,49039,0.638508421451,0,1,328,"Galt, John,",The earthquake;,random | teamblack
uc2.ark+=13960=t70v8bj6k,1922,1922,0,1922,m,,71982,0.64364996978,1,1,324,"French, Joseph Lewis,",Masterpieces of mystery,locghost | locdetmyst | teamblack
uc2.ark+=13960=t0ms3qz4m,1829,1829,1803,1829,m,uk,75398,0.401246907749,0,1,326,"Lytton, Edward Bulwer Lyt",Devereux,teamred | random
11191,1927,1927,1875,1927,m,uk,110170,0.453229676103,0,1,329,"Buchan, John,",Witch wood,chirandom | chifantasy | teamblack
mdp.39076002657265,1913,1913,0,1913,f,,60339,0.437316264117,1,1,329,"Aldridge, Janet.",The Meadow-Brook girls un,teamred | locghost
