volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015005108595,1921,1921,0,1921,m,,109008,0.707783508492,1,1,329,"Rhys, Ernest,",The haunters & the haunte,teamred | locghost
uc1.b4104961,1888,1899,1865,1888,m,uk,54652,0.41026562506,1,1,327,"Kipling, Rudyard,",The phantom rickshaw,teamred | pbgothic
21579,1978,1978,1943,1978,m,us,80972,0.371579362957,0,1,328,"Swift, Edward,",Splendora,teamred | chirandom
njp.32101068177094,1801,1803,1774,1801,m,uk,47746,0.35922183964,0,1,328,"Du Bois, Edward,",Old Nick;,teamred | random
uiuo.ark+=13960=t95723s7x,1812,1812,0,1812,f,uk,43942,0.239318722967,0,1,329,"Byron, Medora Gordon.",The Englishman,random | teamblack
nyp.33433074897426,1896,1913,1864,1896,m,uk,77723,0.435757140093,0,1,329,"Merrick, Leonard,",This stage of fools,teamred | random
uc1.b248744,1843,1846,1809,1843,f,uk,86784,0.497848970208,0,1,329,"Eastlake, Elizabeth,",Livonian tales,random | teamblack
uc2.ark+=13960=t0xp6w75n,1912,1912,1878,1912,m,us,12097,0.178379745236,0,1,329,"Rose, William Ganson,",Putting Marshville on the,random | teamblack
uva.x000498882,1794,1856,1756,1794,m,uk,157839,0.44644903002,1,1,328,"Godwin, William,",The adventures of Caleb W,teamred | pbgothic | stew
uc2.ark+=13960=t9668pw05,1894,1894,1833,1894,m,fr,27876,0.507396260585,0,1,328,"Theuriet, André,",The Abbé Daniel,random | teamblack
22897,1988,1988,1951,1988,f,us,103451,0.70602957998,1,1,329,"Hambly, Barbara",Those who hunt the night,stew | pbgothic | chifantasy | teamblack
mdp.39015031235545,1920,1920,1861,1920,m,uk,39571,0.361305736607,0,1,327,"Hewlett, Maurice,",The light heart,teamred | random
uc1.b3123600,1913,1913,1872,1913,f,us,59945,0.575813400612,0,1,329,"Abbott, Eleanor Hallowell",The white linen nurse,random | teamblack
njp.32101068177102,1801,1803,1774,1801,m,uk,48817,0.38732502946,0,1,328,"Du Bois, Edward,",Old Nick;,teamred | random
23126,1989,1989,1950,1989,f,us,105085,0.467033104182,1,1,329,"Lackey, Mercedes,",Burning water,chimyst | chihorror | chifantasy | teamblack
uiuo.ark+=13960=t18k7vt5k,1807,1807,0,1807,m,uk,34794,0.685542169303,1,1,329,"Mortimer, Edward,",The friar Hildargo,teamred | stangothic
uc1.b287473,1818,1818,1769,1818,f,uk,65924,0.422180537301,0,1,327,"Opie, Amelia Alderson,",New tales,random | teamblack
njp.32101066479765,1791,1791,1742,1791,m,uk,69886,0.28881097764,0,1,329,"Combe, William,",The devil upon two sticks,random | teamblack
njp.32101007059791,1843,1843,1799,1843,m,uk,69228,0.415372502222,0,1,327,"James, G. P. R.",Forest days;,random | teamblack
inu.30000042783591,1887,1887,0,1887,,,76476,0.662807047867,1,1,329,Anonymous3,Dreamland and ghostland,locghost | teamblack
uiuo.ark+=13960=t1rf6b61z,1820,1820,1769,1820,f,uk,72914,0.473809087362,0,1,327,"Opie, Amelia Alderson,",Tales of the heart,random | teamblack
20737,1967,1967,1923,1967,f,us,59956,0.58228260973,0,1,329,"Fox, Paula,",Poor George,chirandom | teamblack
uc1.32106010644463,1846,1846,1814,1846,m,uk,518086,0.471058617205,1,1,327,"Reynolds, George W. M.",The mysteries of London,teamred | pbgothic | stew
uiuo.ark+=13960=t7br98r5d,1810,1810,0,1810,f,uk,56547,0.505764150008,0,1,329,Anonymous6,"The adulteress ; or, anecdotes of two noble families",random | teamblack
uc1.b3326097,1840,1840,1788,1840,m,uk,198248,0.450629704373,0,1,329,"Hook, Theodore Edward,","Cousin Geoffrey, the old ",teamred | random
4449,1920,1920,1843,1920,m,us,63956,0.420897577986,0,1,328,"James, Henry,",Master Eustace,chirandom | teamblack
10922,1948,1948,1897,1948,m,us,78899,0.310190321226,0,1,329,"Wilder, Thornton,",The ides of March,teamred | chirandom
4611,1921,1921,1880,1921,f,us,62078,0.319008884798,0,1,329,"Sawyer, Ruth,",The silver sixpence,teamred | chirandom
uc2.ark+=13960=t2h70nx9q,1858,1874,1824,1858,m,uk,38415,0.762715716247,1,1,328,"MacDonald, George,",Phantastes,pbgothic | teamblack | stew
nyp.33433074920608,1858,1858,1835,1858,m,uk,51603,0.436294579867,0,1,329,"Austin, Alfred,",Five years of it,teamred | random
mdp.39015005076883,1798,1887,1771,1798,m,us,80996,0.75380992106,1,1,329,"Brown, Charles Brockden,","Wieland; or, The transfor",teamred | pbgothic
11396,1933,1933,1879,1933,f,au,58530,0.473421984162,0,1,329,"Franklin, Miles,",Bring the monkey,teamred | chirandom | chimyst
mdp.39015012876820,1890,1890,0,1890,,,43837,0.645151730698,1,1,328,AnonymousGhost2,Modern ghosts,locghost | teamblack | stew
uiuo.ark+=13960=t6251zn27,1810,1810,1780,1810,f,uk,79148,0.556260131641,1,1,325,"Cuthbertson, Catherine.",Forest of Montalbano,stangothic | teamblack
mdp.39015038723360,1860,1906,1824,1860,m,uk,285690,0.46124369498,1,1,326,"Collins, Wilkie,",The woman in white,teamred | stew | sensation | pbgothic
11061,1938,1938,1907,1938,f,uk,154595,0.542334059024,1,1,329,"Du Maurier, Daphne,",Rebecca,teamred | pbgothic | stew
uc1.b4103074,1904,1904,0,1904,m,uk,173307,0.58602916578,1,1,329,"Baring-Gould, S.",A book of ghosts,teamred | locghost | stew
20866,1970,1970,1926,1970,m,us,59925,0.381824030196,0,1,329,"Anderson, Poul,",Tau zero,chiscifi | chirandom | teamblack
dul1.ark+=13960=t3dz14r97,1807,1807,0,1807,f,uk,44292,0.44955870776,0,1,328,"Bayfield, E. G.,",A winter in Bath,teamred | random
nyp.33433074915970,1809,1809,1745,1809,f,uk,81390,0.207066403697,0,1,329,"More, Hannah,",Cœlebs in search of a wife,teamred | random
mdp.39076002621501,1905,1905,1812,1905,m,uk,35893,0.56357432983,1,1,325,"Dickens, Charles,",A Christmas carol in pros,teamred | locghost
uc1.b250129,1864,1864,1814,1864,m,uk,67608,0.589265393003,1,1,326,"Le Fanu, Joseph Sheridan,",Uncle Silas,teamred | stew | sensation | pbgothic
nnc1.0113307762,1888,1888,0,1888,,,80764,0.691777427892,1,1,325,AnonymousGhost,Weird tid-bits,teamred | locghost
mdp.39015051156498,1826,1826,1798,1826,m,uk,90728,0.494260394344,0,1,329,"Banim, John,",Tales,teamred | random
nyp.33433074874300,1796,1796,1775,1796,m,uk,47421,0.537288147008,1,1,328,"Lewis, M. G.",The monk,pbgothic | teamblack
mdp.39015066083661,1890,1890,0,1890,,,42842,0.646111181765,1,1,328,AnonymousGhost2,Modern ghosts;,locghost | teamblack
uc1.b3324403,1860,1860,1827,1860,m,uk,85169,0.404502809581,0,1,329,"Lawrence, George A.",Sword and gown,teamred | random
uc2.ark+=13960=t4wh2p202,1834,1834,0,1834,m,us,78338,0.373612783605,0,1,328,"White, James,",Some passages in the life of Sir Frizzle Pumpkin,random | teamblack
nyp.33433074951611,1803,1803,1780,1803,f,uk,65999,0.706221573188,1,1,325,"Cuthbertson, Catherine.",Romance of the Pyrenees,stangothic | teamblack
nyp.33433074870282,1907,1907,1861,1907,m,uk,108516,0.351739440475,0,1,327,"Hewlett, Maurice,",The stooping lady,teamred | random
uiuo.ark+=13960=t7pn9mm7s,1858,1858,1807,1858,f,uk,45621,0.373483450468,0,1,329,"Manning, Anne,",The ladies of Bever Hollo,random | teamblack
23059,1989,1989,1940,1989,m,us,92668,0.485512454115,1,1,329,"Cook, Robin,",Mutation,chiscifi | teamred | chihorror | stew
uc2.ark+=13960=t48p64044,1894,1894,1832,1894,m,uk,140615,0.342649017078,0,1,329,"Henty, G. A.",When London burned,random | teamblack
23231,1989,1989,1954,1989,m,us,64330,0.288109002267,0,1,329,"Weinstein, Howard,",Power hungry,chiscifi | chirandom | teamblack | stew
uva.x030743237,1880,1880,1838,1880,m,us,51875,0.411381564178,0,1,329,"Scudder, Horace Elisha,",Doings of the Bodley fami,random | teamblack
uc1.b254212,1821,1821,0,1821,f,uk,56418,0.528960438457,0,1,329,"Varty-Smith, Augusta A.",Matthew Tindale,teamred | random
nyp.33433074911771,1799,1799,1758,1799,f,uk,61242,0.648394889382,0,1,329,"Robinson, Mary Darby,",The false friend,teamred | random
uc2.ark+=13960=t9862rx2r,1858,1874,1824,1858,m,uk,35671,0.737824432089,1,1,328,"MacDonald, George,",Phantastes,pbgothic | teamblack
uc1.b3290572,1827,1827,1765,1827,m,uk,76939,0.313704181456,0,1,329,"Ward, R. Plumer",De Vere,random | teamblack
uc2.ark+=13960=t1dj5cf2j,1886,1920,1853,1886,m,fr,60294,0.46563931778,0,1,329,"Lemaître, Jules,",Serenus and other stories,teamred | random
inu.30000007708815,1868,1868,1824,1868,m,uk,232311,0.426609674083,1,1,326,"Collins, Wilkie,",The moonstone,teamred | pbgothic | det100
nnc1.0037104152,1795,1798,1732,1795,m,uk,76058,0.363489873358,0,1,329,"Cumberland, Richard,",Henry,teamred | random
uc1.b316144,1832,1832,1796,1832,m,ge,75165,0.440464984164,0,1,329,"Spindler, Carl,",The Jew,random | teamblack
21967,1982,1982,1911,1982,m,us,390854,0.418508386541,0,1,329,"Hubbard, L. Ron,",Battlefield earth,chiscifi | teamred | chirandom
uc2.ark+=13960=t1bk18j97,1914,1914,1871,1914,m,uk,17649,0.387377483453,0,1,329,"Bell, J. J.",The misadventures of Jose,random | teamblack
inu.30000007695723,1872,1886,1814,1872,m,uk,135386,0.633853902052,1,1,326,"Le Fanu, Joseph Sheridan,",In a glass darkly,pbgothic | teamblack | stew
uc2.ark+=13960=t1mg7hw3f,1833,1880,1803,1833,m,uk,140001,0.42588325198,1,1,326,"Lytton, Edward Bulwer Lyt",Godolphin,pbgothic | teamblack
mdp.39015021039980,1821,1892,1782,1821,m,uk,95790,0.701826110152,1,1,327,"Maturin, Charles Robert,",Melmoth the wanderer,teamred | pbgothic | stew
uiuo.ark+=13960=t00z7jj1c,1823,1823,1788,1823,m,uk,43736,0.616004620047,1,1,329,"Gaspey, Thomas,","Other times; or, the monks of Leadenhall",stangothic | teamblack
20772,1968,1968,1936,1968,m,us,45133,0.641179325257,1,1,329,"Chappell, Fred,",Dagon,teamred | chihorror
nyp.33433067303937,1807,1807,1763,1807,f,uk,140104,0.50268470674,1,1,327,"Roche, Regina Maria,","The discarded son; or, Haunt of the banditti",teamred | stangothic
njp.32101037977574,1807,1807,1771,1807,f,uk,71436,0.621234676506,1,1,329,"Dacre, Charlotte,",The libertine;,pbgothic | teamblack
20791,1968,1968,1938,1968,f,us,87875,0.450198276656,1,1,329,"Oates, Joyce Carol,",Expensive people,teamred | pbgothic | chihorror
22685,1987,1987,0,1987,m,us,245016,0.406877142839,0,1,329,"Guild, Nicholas,",The Assyrian,chirandom | teamblack
22787,1987,1987,1943,1987,m,us,70972,0.416745407405,0,1,328,"Swift, Edward,",A place with promise,teamred | chirandom
4485,1920,1920,1871,1920,m,us,73535,0.309719976542,0,1,329,"Raine, William MacLeod,",Oh: you Tex!,teamred | chirandom
nyp.33433075737753,1890,1891,1848,1890,m,ah,67598,0.427135821716,0,1,329,"Franzos, Karl Emil,",Judith Trachtenberg,teamred | random
nyp.33433074874748,1796,1796,1775,1796,m,uk,63096,0.766960479596,1,1,328,"Lewis, M. G.",The monk,pbgothic | teamblack | stew
uva.x000960744,1820,1873,1783,1820,m,us,41943,0.561216074233,1,1,328,"Irving, Washington,",The sketch-book of Geoffr,pbgothic | teamblack
21851,1981,1981,1934,1981,m,us,63052,0.4087921681,0,1,329,"Jones, Robert F.",Slade's glacier,teamred | chirandom
uc2.ark+=13960=t6251m863,1871,1871,1838,1871,m,uk,80104,0.445725944631,0,1,328,"Farjeon, B. L.",Joshua Marvel,random | teamblack
umn.31951002081141q,1826,1826,0,1826,,uk,425660,0.639620242196,1,1,329,Anonymous2,Legends of terror!,teamred | locghost | stew
nyp.33433076072051,1922,1922,1888,1922,m,us,68969,0.429625501778,0,1,329,"Jewell, Edward Alden,",The moth decides,random | teamblack
4690,1922,1922,1857,1922,m,us,78462,0.243631031272,0,1,329,"Hough, Emerson,",The young Alaskans on the,teamred | chirandom
mdp.39015000551799,1838,1867,1812,1838,m,uk,206620,0.536233867109,1,1,325,"Dickens, Charles,",Oliver Twist,teamred | pbgothic | stew
mdp.39015063931474,1794,1794,1740,1794,f,uk,48572,0.326132876328,0,1,329,"Gunning,",Memoirs of Mary,random | teamblack
uc1.b3325448,1890,1906,1856,1890,f,uk,56558,0.61798406926,1,1,329,"Lee, Vernon,",Hauntings,teamred | pbgothic | stew
21734,1980,1980,1927,1980,m,us,97176,0.275195959817,0,1,329,"Herzog, Arthur,",Aries rising,teamred | chirandom
20794,1968,1968,1927,1968,f,us,66342,0.570818122616,0,1,329,"Peters, Elizabeth,",The jackal's head,chirandom | teamblack
nyp.33433081585105,1832,1840,1783,1832,m,us,160205,0.528985233937,1,1,328,"Irving, Washington,",Tales of the Alhambra,pbgothic | teamblack
uc1.b249543,1898,1898,1831,1898,f,uk,83269,0.420723922696,0,1,329,"Barr, Amelia Edith Huddle",The lost silver of Briffa,random | teamblack
uc2.ark+=13960=t2r49vz0v,1851,1883,1804,1851,m,us,128129,0.537207076375,1,1,326,"Hawthorne, Nathaniel,",The house of the seven ga,pbgothic | teamblack
nyp.33433074937610,1827,1830,1803,1827,m,uk,41813,0.581777073683,1,1,326,"Lytton, Edward Bulwer Lyt",Falkland,pbgothic | teamblack | stew
uiuo.ark+=13960=t1ng5958h,1823,1823,0,1823,f,uk,36208,0.48962253253,1,1,329,"Sullivan, Mary Ann.","Owen Castle, or, Which is the heroine?",teamred | stangothic
uva.x000237148,1865,1881,1812,1865,m,uk,402047,0.397329139111,1,1,325,"Dickens, Charles,",Our mutual friend,pbgothic | teamblack
uc1.b250127,1864,1864,1814,1864,m,uk,66648,0.5471062168,1,1,326,"Le Fanu, Joseph Sheridan,",Uncle Silas,teamred | stew | sensation | pbgothic
uc2.ark+=13960=t1pg1k81k,1919,1919,1862,1919,m,uk,35290,0.543946758115,1,1,329,"James, M. R.",A thin ghost and others,teamred | pbgothic
21905,1981,1981,1947,1981,m,us,51220,0.286512028405,0,1,329,"Vardeman, Robert E,",The Klingon gambit,chiscifi | teamred | chirandom | stew
njp.32101067634046,1833,1833,1793,1833,m,us,69300,0.407000043135,0,1,329,"Hall, James,",The soldier's bride and o,teamred | random
nnc1.0111708131,1888,1888,0,1888,,,76488,0.744029056594,1,1,325,AnonymousGhost,Weird tid-bits,locghost | teamblack | stew
uiuo.ark+=13960=t4km00443,1818,1818,1775,1818,f,uk,45337,0.291802582104,1,1,325,"Austen, Jane,",Northanger Abbey,teamred | lochorror | stew
uiuo.ark+=13960=t9f481w8n,1809,1809,0,1809,f,uk,71596,0.649845741456,1,1,328,"Frances, Sophia L.","Angelo Guicciardini, or, The bandit of the Alps",teamred | stangothic
10923,1948,1948,1908,1948,m,us,91373,0.750514653113,1,1,329,"Williamson, Jack,",Darker than you think,chiscifi | chihorror | chifantasy | teamblack
nyp.33433074945779,1866,1873,1824,1866,m,uk,354875,0.45772388773,1,1,326,"Collins, Wilkie,",Armadale,teamred | stew | sensation | pbgothic
nyp.33433074918784,1790,1790,0,1790,m,uk,24712,0.421114536256,0,1,328,"White, James,",The adventures of John of,random | teamblack
coo.31924013476498,1885,1912,1856,1885,m,uk,65778,0.498376197811,1,1,329,"Haggard, H. Rider",King Solomon's mines,teamred | pbgothic
uva.x000180089,1850,1889,1804,1850,m,us,101953,0.530943638869,1,1,326,"Hawthorne, Nathaniel,",The scarlet letter,teamred | pbgothic | stew
njp.32101013566920,1892,1898,1842,1892,m,us,77650,0.607061107064,1,1,326,"Bierce, Ambrose,",In the midst of life;,pbgothic | teamblack | stew
JamesTurnOfScrew1898,1898,1898,1843,1898,m,us,42814,0.593680526436,1,1,328,"James, Henry,",The Turn of the Screw,teamred | pbgothic
mdp.39015063559390,1882,1883,1828,1882,f,uk,31226,0.498622413062,1,1,329,"Oliphant,",A little pilgrim in the u,teamred | pbgothic | stew
mdp.39015059642994,1886,1903,1850,1886,m,uk,29852,0.650245654019,1,1,329,"Stevenson, Robert Louis,",Strange case of Dr. Jekyl,teamred | pbgothic | anatscifi | stew
uc2.ark+=13960=t9571nb3d,1866,1866,1819,1866,m,uk,200937,0.3708266026,0,1,329,"Kingsley, Charles,",Hereward,random | teamblack
mdp.39015078572263,1780,1788,1746,1780,m,ge,62920,0.378458592394,0,1,329,"Campe, Joachim Heinrich,",The new Robinson Crusoe;,random | teamblack
mdp.39076006220961,1847,1907,1816,1847,f,uk,118026,0.558043607421,1,1,327,"Brontë, Charlotte,",Jane Eyre,teamred | pbgothic
uiuo.ark+=13960=t2988vx2b,1802,1802,0,1802,m,uk,22437,0.709030677899,1,1,329,"Melville, Theodore.","The white knight, or, The monastery of Morne",stangothic | teamblack
nyp.33433074919402,1840,1858,1805,1840,m,uk,226240,0.566256834319,1,1,327,"Ainsworth, William Harris",The Tower of London,teamred | pbgothic | stew
njp.32101074629542,1790,1790,1747,1790,m,fr,57976,0.408711007194,0,1,329,"Lavallée, Joseph,",The negro equalled by few,random | teamblack
uc2.ark+=13960=t8df6mw4h,1850,1850,1809,1850,m,us,130449,0.541001028988,0,1,328,"Arthur, T. S.",Tales of domestic life,random | teamblack
nyp.33433075843544,1892,1892,1833,1892,m,fr,62230,0.35678561757,0,1,328,"Theuriet, André,",A young man of the period,teamred | random
uiuo.ark+=13960=t8nc69j1b,1803,1803,1780,1803,f,uk,66013,0.70896693366,1,1,325,"Cuthbertson, Catherine.",Romance of the Pyrenees,stangothic | teamblack
mdp.39015006997806,1846,1846,1815,1846,f,uk,88795,0.449903107056,0,1,329,"Sewell, Elizabeth Missing",Gertrude,teamred | random
uc2.ark+=13960=t7np1xq4d,1919,1919,0,1919,m,,48262,0.628579138558,1,1,329,"Pease, Howard,",Border ghost stories,locghost | teamblack | stew
uiuo.ark+=13960=t86h4xr9x,1806,1806,0,1806,f,,40764,0.586063406295,1,1,328,"Frances, Sophia L.","Vivonio, or, The hour of retribution",stangothic | teamblack | stew
23139,1989,1989,1936,1989,m,us,102868,0.372155917448,0,1,329,"McMurtry, Larry,",Some can whistle,chirandom | teamblack
nnc1.1002330709,1794,1794,1748,1794,m,uk,19893,0.524233224226,0,1,329,"Moser, Joseph,",Turkish tales,teamred | random
21470,1977,1977,1942,1977,m,us,105363,0.594900225366,1,1,329,"Saul, John,",Suffer the children,teamred | chihorror
uc2.ark+=13960=t23b5ww6x,1922,1922,0,1922,m,,65363,0.670963062589,1,1,324,"French, Joseph Lewis,",Masterpieces of mystery,locghost | locdetmyst | teamblack
mdp.39015004200997,1818,1891,1797,1818,f,uk,84301,0.662792888952,1,1,329,"Shelley, Mary Wollstonecr",Frankenstein,femscifi | teamred | stangothic | stew
Derleth1948,1948,1948,1909,1948,m,us,7060,0.516545203106,1,1,329,"Derleth, August,",Two stories by Derleth,chiscifi | teamred | pbgothic
njp.32101075374379,1844,1845,1814,1844,m,uk,518644,0.467791897006,1,1,327,"Reynolds, George W. M.",The mysteries of London,teamred | pbgothic | stew
uc1.b4104774,1895,1896,1855,1895,f,uk,196793,0.42784342416,1,1,329,"Corelli, Marie,",The sorrows of Satan;,teamred | pbgothic
mdp.39015004880715,1841,1908,1812,1841,m,uk,316105,0.507954965358,1,1,325,"Dickens, Charles,",The old curiosity shop,pbgothic | teamblack | stew
nyp.33433074866686,1888,1898,1865,1888,m,uk,73851,0.358028756396,1,1,327,"Kipling, Rudyard,",Plain tales from the hill,pbgothic | teamblack | stew
njp.32101051650776,1794,1828,1764,1794,f,uk,115464,0.629492489535,1,1,323,"Radcliffe, Ann Ward,",The mysteries of Udolpho,pbgothic | teamblack | stew
uc2.ark+=13960=t5t728t8q,1796,1796,1752,1796,f,uk,88922,0.38119703313,0,1,329,"Burney, Fanny,","Camilla: or, A picture of",random | teamblack
ien.35556027278860,1912,1912,0,1912,m,,69599,0.676869869047,1,1,329,"Gowans, Adam L.",Famous ghost-stories by E,locghost | teamblack
22741,1987,1987,1931,1987,f,us,98542,0.426529044642,1,1,329,"Morrison, Toni",Beloved,pbgothic | teamblack
uc2.ark+=13960=t82j6cs08,1807,1807,1755,1807,f,uk,27212,0.42524958345,0,1,329,"Grant, Anne MacVicar,",Letters from the mountain,random | teamblack
23075,1989,1989,0,1989,f,us,85176,0.505429625696,0,1,329,"Dunlap, Susan,",Pious deception,teamred | stew | chirandom | chimyst
njp.32101013133523,1813,1813,1763,1813,f,uk,47794,0.466639123696,1,1,327,"Roche, Regina Maria,",The monastery of St. Columb;,teamred | stangothic
uc2.ark+=13960=t0js9hc64,1887,1887,1883,1887,f,us,90502,0.400134704506,0,1,329,"Clarke, Rebecca Sophia,",Drones' honey,random | teamblack
dul1.ark+=13960=t6834qb4k,1788,1788,1763,1788,m,uk,9979,0.428975040696,0,1,329,"Berkeley, George Monck,",Heloise: or The siege of ,teamred | random
nyp.33433075761720,1888,1888,1838,1888,m,uk,58823,0.507106662248,0,1,328,"Farjeon, B. L.",Miser Farebrother,random | teamblack
nyp.33433068179716,1906,1906,0,1906,f,,39521,0.675667495959,1,1,329,"Buckingham, Emma May.",Modern ghost stories,teamred | locghost | stew
uva.x000674483,1888,1888,1851,1888,f,uk,97711,0.477531840972,0,1,329,"Ward, Humphry,",Robert Elsmere,random | teamblack
11809,1946,1946,1905,1946,m,uk,118397,0.339837659121,0,1,329,"Koestler, Arthur,",Thieves in the night,chirandom | teamblack
10380,1932,1932,1897,1932,m,us,152041,0.520007308263,1,1,329,"Faulkner, William",Light in August,pbgothic | teamblack
uiuo.ark+=13960=t42r4bj1d,1867,1867,1830,1867,m,uk,52352,0.397748666004,0,1,329,"Kirkus, William,",Only to be married,random | teamblack
