,0,really horror,horror_probability,preds
152,The Dutch shoe mystery,0,0.7212176220254504,1
11,Honey in his Mouth,0,0.7218394045330109,1
110,Doomsday morning,0,0.7225599867485004,1
16,The inner house,0,0.7225599867485004,1
13,Tiger Cat ,1,0.7225599867485004,1
129,A scanner darkly,0,0.7225599867485004,1
114,Foundation,0,0.7225599867485004,1
141,The gold bag,0,0.7225599867485004,1
120,The Turn of the Screw,1,0.7225599867485004,1
7,The Death of Halpin Frayser,1,0.7225599867485004,1
127,Crime of Violence ,0,0.7225599867485004,1
5,Triangle of sin,0,0.7225599867485004,1
60,Strange Motives,0,0.7225599867485004,1
26,Strange case of Dr. Jekyl,0,0.7225599867485004,1
63,Murder in the Mirror,0,0.7225599867485004,1
53,Slan,0,0.7225599867485004,1
65,Twenty thousand leagues under the sea,0,0.7225599867485004,1
160,The lost world,0,0.7225599867485004,1
49,The night life of the god,0,0.7225599867485004,1
73,The chessmen of Mars,0,0.7225599867485004,1
47,Dark Passage,0,0.7225599867485004,1
155,"Looking backward, 2000-18",0,0.7225599867485004,1
44,The Elixir Of Life,1,0.7225599867485004,1
42,The nonborn king,0,0.7225599867485004,1
145,The Case of the Painted Girl,0,0.7225599867485004,1
165,Mountain cat Murders,0,0.7225599867485004,1
83,Beyond the Black River,0,0.7225599867485004,1
169,The Were-wolf,1,0.7225599867485004,1
150,The eyes of Heisenberg,0,0.7225599867485004,1
35,The planet of peril,0,0.7225599867485004,1
33,Across the zodiac,0,0.7225599867485004,1
89,Bill the Galactic hero,0,0.7225599867485004,1
90,The last man,0,0.7225599867485004,1
31,Enterprise Stardust,0,0.7225599867485004,1
171,Cold Harbour,1,0.7225599867485004,1
56,Eleven possible cases,0,0.7225599867485004,1
166,A world out of time,0,0.7225599867485004,1
27,Dracula,1,0.7225599867485004,1
3,Yermah the Dorado,0,0.7242115001855117,1
178,The Cosmic Computer,0,0.724538403064853,1
92,The Lair of the White Worm,1,0.724538403064853,1
108,The mortgage on the brain,0,0.724538403064853,1
88,The Secret of Kralitz,1,0.724538403064853,1
8,The Exile of the Skies,0,0.7263986535922247,1
29,A Counterfeiter's Roguery,0,0.7263986535922247,1
30,The great war syndicate,0,0.7282007889136242,1
62,The Steam Man of the Prairies,0,0.7392441410811046,1
156,Lady and the Lake,0,0.7404186730880757,1
183,The goddess of Atvatabar,0,0.742582235489488,1
97,Ghost-Stories of an Antiquary,1,0.7449378499991621,1
0,The twenty-six clues,0,0.7453659596012359,1
10,Secret of the Sun ,0,0.7467895726918854,1
23,Star-begotten,0,0.7478659744698659,1
67,A journey in other worlds,0,0.7485961404846033,1
118,Recollections of a Detective Police-Officer,0,0.749738850720242,1
64,The dream doctor,0,0.7521408526500817,1
122,Anthem,0,0.7555767740158772,1
85,Shadows in Zamboula,0,0.7611722421522503,1
38,The Treasure of Abbot Thomas,1,0.7614656814255059,1
86,The Three Impostors,1,0.7614656814255059,1
6,The tracer of lost person,0,0.7614656814255059,1
15,The Dark Chamber,1,0.7614656814255059,1
18,Markheim,1,0.7616161141519852,1
17,Metzengerstein,1,0.7619092783450697,1
168,Out of the silence,0,0.7623687102217842,1
77,The Haunted Lady,0,0.7646127359575513,1
134,A Millionaire Mystery,0,0.7652278193564728,1
121,The amateur cracksman,0,0.7662896517961411,1
179,The Spider,1,0.7662896517961411,1
36,The footsteps at the lock,0,0.7662896517961411,1
98,The Great God Pan,1,0.7662896517961411,1
102,The Legion of Time,0,0.7662896517961411,1
124,The Treasure of Red-Ash Desert,0,0.7667074980372972,1
80,Talented Mr. Ripley,0,0.7667074980372972,1
157,Last and first men,0,0.767841040640305,1
100,Artifact,0,0.7706204344280574,1
37,Mr. Meeson's will,0,0.7727671887650163,1
84,The prince of peril,0,0.788517977152832,1
76,Shallows of night,0,0.7913415500236514,1
138,Voyage To Arcturus,0,0.7935803565745223,1
117,The second confession,0,0.7935803565745223,1
70,The Werewolf,1,0.7962281968201523,1
66,Long live the dead,0,0.8007540607534815,1
14,The green man,0,0.8025102570186515,1
40,On Basilisk Station,0,0.8079418622685846,1
41,Beyond the dreams of avarice,0,0.8207536084659847,1
78,The Ghost Pirates,1,0.8207536084659847,1
167,The Shadowy Thing,1,0.8227637335426594,1
115,Planet of Adventure,0,0.8313714783889903,1
22,Shadows in the Moonlight,0,0.8356749539779108,1
95,The stillwater tragedy,0,0.8488777670854045,1
149,Hartmann the anarchist,0,0.8497335082241668,1
