position,authors,genres,lavin_genres,ids,big_genres,titles,dates,cosine_similarities
293,Lee%2C+Vernon%2C,teamred | pbgothic | stew | lavin_ghost,lavin_ghost,294,gothic,Hauntings,1890,0.188767315
165,Hawthorne%2C+Nathaniel%2C,teamblack | pbgothic,no_lavin_tag,166,gothic,The+house+of+the+seven+ga,1851,0.188658178
474,French%2C+Joseph+Lewis%2C,teamred | locghost | stew | lavin_ghost,lavin_ghost,475,gothic,The+best+psychic+stories,1920,0.188491886
130,Trollope%2C+Frances+Milton%2C,teamblack | random,no_lavin_tag,131,non_genre,A+romance+of+Vienna,1838,0.187674086
121,Hall%2C+James%2C,teamred | random,no_lavin_tag,122,non_genre,The+soldier%27s+bride+and+o,1833,0.186922909
33,Lewis%2C+M.+G.,teamblack | pbgothic | stew | lavin_magic,lavin_magic,34,gothic,The+monk,1796,0.186567208
83,Maturin%2C+Charles+Robert%2C,teamblack | pbgothic | lavin_magic | lavin_deranged,lavin_multi,84,gothic,Melmoth+the+wanderer,1820,0.186125557
304,Bradshaw%2C+William+R.,teamblack | locscifi,no_lavin_tag,305,scifi,The+goddess+of+Atvatabar,1892,0.186110283
516,French%2C+Joseph+Lewis%2C,teamblack | locdetmyst | locghost | lavin_ghost,lavin_ghost,517,multi,Masterpieces+of+mystery,1922,0.185508372
49,Anonymous7,teamblack | random,no_lavin_tag,50,non_genre,Barbara+Markham%3B+or%2C+The+profligate+requited%3B,1803,0.184300457
118,James%2C+G.+P.+R.,teamred | random,no_lavin_tag,119,non_genre,Henry+Masterton%3B,1832,0.184123346
677,Heinlein%2C+Robert+A.,chirandom | teamred | chiscifi,no_lavin_tag,678,scifi,Rocket+ship+Galileo,1947,0.183517808
265,Corelli%2C+Marie%2C,teamred | femscifi | locscifi,no_lavin_tag,266,scifi,A+romance+of+two+worlds,1886,0.183124085
280,AnonymousGhost,teamred | locghost | stew | lavin_ghost,lavin_ghost,281,gothic,Weird+tid-bits,1888,0.182939281
100,Radcliffe%2C+Ann+Ward%2C,teamred | pbgothic | stew,no_lavin_tag,101,gothic,Gaston+de+Blondeville,1826,0.181518443
59,Dacre%2C+Charlotte%2C,teamblack | pbgothic,no_lavin_tag,60,gothic,The+libertine%3B,1807,0.181430927
625,Freeman%2C+R.+Austin%2C,teamred | chimyst,no_lavin_tag,626,crime,The+stoneware+monkey,1939,0.181407022
697,Zagat%2C+Arthur+Leo%2C,teamblack | chiscifi,no_lavin_tag,698,scifi,Seven+out+of+time,1949,0.181165759
291,Stockton%2C+Frank+Richard%2C,teamred | anatscifi,no_lavin_tag,292,scifi,The+great+war+syndicate,1889,0.180843719
266,Verne%2C+Jules%2C,teamred | anatscifi | locscifi,no_lavin_tag,267,scifi,The+clipper+of+the+clouds,1886,0.180826571
