,0,really scifi,scifi_probability,preds
66,The Hour of the Dragon,0,0.0,1
57,A scanner darkly,1,0.0,1
53,The school for widows,0,0.0,1
52,The Death of Halpin Frayser,0,0.0,1
65,Out of the silence,1,0.0,1
72,Son of the stars,1,0.0,1
62,Hartmann the anarchist,1,0.0,1
15,The first men in the moon,1,1.0,1
10,The Big Blackmail,0,1.0,1
155,The Monk,0,1.0,1
85,Trouble is my Business,0,1.0,1
162,The case of the empty tin,0,1.0,1
12,The Exile of the Skies,1,1.0,1
81,Look Up There!,0,1.0,1
156,The Steam Man of the Prairies,1,1.0,1
159,The Tapestried Chamber,0,1.0,1
109,Northanger Abbey,0,1.0,1
167,Notting Hill Mystery,0,1.0,1
1,The master mind of Mars,1,1.0,1
181,The House on the Borderland,0,1.0,1
180,The House of Sounds,0,1.0,1
3,The Lair of the White Worm,0,1.0,1
178,Blind Man’s Buff,0,1.0,1
77,The harvest murder,0,1.0,1
71,Jewels of Gwahlur,0,1.0,1
70,The monster men,1,1.0,1
174,The return of Sherlock Holmes,0,1.0,1
173,Yermah the Dorado,1,1.0,1
172,On Basilisk Station,1,1.0,1
69,The mysteries of Udolpho,0,1.0,1
8,Black no more,1,1.0,1
9,The forbidden garden,1,1.0,1
168,A romance of two worlds,1,1.0,1
166,Deadly beloved,0,1.0,1
64,Mountain cat Murders,0,1.0,1
24,The forever man,1,1.0,1
61,Dagon,0,1.0,1
50,The Beetle,0,1.0,1
111,The doomsday men,1,1.0,1
49,The Amphibians,1,1.0,1
48,The Murder in the Rue Morgue,0,1.0,1
115,Is he the man?,0,1.0,1
116,A dog's ransom,0,1.0,1
117,The chronicles of Quincy ,0,1.0,1
105,The narrative of Arthur G,1,1.0,1
104,The Golgotha Dancers,0,1.0,1
44,From the Earth to the Moon,1,1.0,1
43,The Great God Pan,0,1.0,1
41,The eyes of Heisenberg,1,1.0,1
39,Markheim,0,1.0,1
101,The Return,0,1.0,1
20,Tiger Cat ,0,1.0,1
127,The tracer of lost person,0,1.0,1
100,Across the zodiac,1,1.0,1
98,A Counterfeiter's Roguery,0,1.0,1
33,The last man,1,1.0,1
32,The Ghost of Fear,0,1.0,1
95,The Three Impostors,0,1.0,1
29,When the sleeper wakes,1,1.0,1
138,The time stream,1,1.0,1
139,The Phantom Ship,0,1.0,1
141,The Mystery of Marie Roget,0,1.0,1
60,Bill the Galactic hero,1,1.0,1
184,The woman who vowed,1,1.0,1
144,The secret of the crater,1,1.0,1
145,The stand,0,1.0,1
91,The Lipstick Clue,0,1.0,1
128,Secret of the Sun ,1,1.0,1
73,The Big Sleep,0,1.0,1
