,text,range,Walker ratio,percentile,Epoch mean,Epoch median,standard_deviation,>+1 std of mean value
27,lovecraft_late,1835-1869,0.5748221715206012,0.25882352941176473,0.6003627045941917,0.6173058835824015,0.06790678523175313,False
29,lovecraft_late,1870-1904,0.5748221715206012,0.07194244604316546,0.625401797699963,0.6260016353229763,0.0371471088353742,True
26,lovecraft_late,1905-1939,0.5748221715206012,0.17120622568093385,0.6055639006288482,0.6094199606239588,0.03940951054299228,False
28,lovecraft_late,1940-1974,0.5748221715206012,0.3404255319148936,0.5864393204389474,0.5901140684410646,0.03600870076694745,False
30,lovecraft_mountains,1800-1834,0.5923193023645816,0.2926829268292683,0.6134512798899276,0.6277114982578398,0.05150333151144476,False
32,lovecraft_mountains,1835-1869,0.5923193023645816,0.32941176470588235,0.6003627045941917,0.6173058835824015,0.06790678523175313,False
34,lovecraft_mountains,1870-1904,0.5923193023645816,0.11510791366906475,0.625401797699963,0.6260016353229763,0.0371471088353742,False
31,lovecraft_mountains,1905-1939,0.5923193023645816,0.2918287937743191,0.6055639006288482,0.6094199606239588,0.03940951054299228,False
33,lovecraft_mountains,1940-1974,0.5923193023645816,0.5276595744680851,0.5864393204389474,0.5901140684410646,0.03600870076694745,False
35,lovecraft_reanimator,1800-1834,0.6555269922879178,0.8658536585365854,0.6134512798899276,0.6277114982578398,0.05150333151144476,False
37,lovecraft_reanimator,1835-1869,0.6555269922879178,0.8352941176470589,0.6003627045941917,0.6173058835824015,0.06790678523175313,False
39,lovecraft_reanimator,1870-1904,0.6555269922879178,0.8561151079136691,0.625401797699963,0.6260016353229763,0.0371471088353742,False
36,lovecraft_reanimator,1905-1939,0.6555269922879178,0.933852140077821,0.6055639006288482,0.6094199606239588,0.03940951054299228,True
38,lovecraft_reanimator,1940-1974,0.6555269922879178,0.9744680851063829,0.5864393204389474,0.5901140684410646,0.03600870076694745,True
40,lovecraft_shadow,1800-1834,0.6157512482977757,0.3902439024390244,0.6134512798899276,0.6277114982578398,0.05150333151144476,False
