doc_id,average_predicted,actual,average_margin
uc2.ark+=13960=t0cv4hf87,1888.04598367289,1888.0,3.41585661317827
uc1.b4107807,1887.19767119519,1887.0,3.42897471494554
njp.32101032308387,1832.45378287723,1832.0,3.50937162444587
nyp.33433074951611,1804.07229259638,1803.0,3.56127711290853
20642,1963.03487856907,1965.0,3.58873088344302
10951,1948.03131005505,1949.0,3.69602198727292
11809,1944.43848409117,1946.0,3.75483001533604
11141,1925.35476374691,1925.0,3.78722183946401
uc2.ark+=13960=t4cn73z09,1889.65364284118,1888.0,3.81635154745641
11113,1922.44473614416,1923.0,3.83746343090088
21542,1981.04265008905,1978.0,3.83890957401833
uiuo.ark+=13960=t8nc69j1b,1799.65238776616,1803.0,3.88272562653221
njp.32101075374379,1846.60885017823,1844.0,3.90698395707769
uc2.ark+=13960=t1mg7hw3f,1835.57011603522,1833.0,4.01422310359237
21631,1979.80791049501,1979.0,4.04414010944482
inu.30000007695723,1871.25733473177,1872.0,4.04474117342589
uiuo.ark+=13960=t2j683k08,1849.47521825122,1850.0,4.04925001485493
10862,1947.37866322325,1947.0,4.06029268815019
uva.x000885514,1895.28204823395,1893.0,4.12725897239134
10889,1939.35400843565,1939.0,4.18842276827823
21929,1982.27336706635,1982.0,4.19972170108344
20698,1962.92508645179,1966.0,4.2229037191648
21318,1978.89234817127,1976.0,4.23330027118538
20427,1962.7803625984,1960.0,4.2950226656478
uc2.ark+=13960=t45q4tp5h,1905.35736646856,1903.0,4.35494001995924
nyp.33433074897426,1892.93919059569,1896.0,4.44837730755043
10954,1950.63365034714,1949.0,4.44948104765295
uc1.b3326097,1842.25828646301,1840.0,4.46733723244512
10962,1952.38598279897,1949.0,4.48672769935137
mdp.39015000613680,1916.4178090835,1914.0,4.53366004744283
20393,1959.21692882435,1959.0,4.57636029264544
21221,1972.02261458012,1974.0,4.58340613722121
22894,1987.40866057419,1988.0,4.62519053799019
20720,1968.22303902708,1966.0,4.64259644830153
uiuo.ark+=13960=t8w95tz11,1804.76717159986,1803.0,4.64353536644145
11114,1924.09420551582,1923.0,4.64828066269481
23109,1986.60077548694,1989.0,4.66316623428316
uiuo.ark+=13960=t6xw4rw1j,1803.2049133751,1803.0,4.68723178162178
10053,1927.03600121347,1928.0,4.69635745430091
21330,1978.3829516123,1976.0,4.70195633076573
10286,1926.67983376538,1928.0,4.70224871812355
hvd.hwkdax,1800.54678759057,1803.0,4.71641594766403
uc2.ark+=13960=t6154fk9b,1854.62568773809,1853.0,4.72119355632433
nyp.33433074915269,1894.77810877277,1897.0,4.73299184307874
11046,1934.44773308248,1933.0,4.73317445733365
10690,1939.20697760352,1942.0,4.73999176971211
11098,1948.77745870473,1950.0,4.74512177592884
10310,1927.76752852865,1929.0,4.75132108459786
nyp.33433074841895,1915.27448303217,1915.0,4.7531343784835
21114,1968.89461431266,1973.0,4.7952518667579
10814,1948.77972805383,1946.0,4.80499697881462
21876,1983.63301010678,1981.0,4.85629253558424
10403,1929.31375733575,1933.0,4.87061960732603
11043,1930.38738346128,1932.0,4.87698111249768
11836,1946.01714536942,1947.0,4.87732990537285
21578,1975.88124685542,1978.0,4.8885390323543
mdp.39015063960556,1922.76491797691,1920.0,4.92367911133239
22766,1989.4095094417,1987.0,4.94269876158915
21620,1980.72522166545,1979.0,4.94708201739233
uc2.ark+=13960=t9474d81g,1874.43020773521,1876.0,4.95692650669067
20233,1954.47419052474,1956.0,4.96051894520138
11499,1936.08403061543,1936.0,4.96879211331929
11927,1951.62228558387,1950.0,4.97487825382353
4459,1920.35728164308,1920.0,4.97765702512904
11703,1944.24479564629,1942.0,4.98511981705172
10803,1948.21838382382,1946.0,4.99331397217377
nyp.33433074818778,1879.68375026149,1880.0,4.99500422398449
uc2.ark+=13960=t7hq41f5s,1908.07444089476,1909.0,5.00348891435355
10202,1952.33134241709,1950.0,5.00715333205098
20839,1972.13301050897,1969.0,5.01957236910643
uc2.ark+=13960=t6251m863,1872.6555573865,1871.0,5.0220189916117
njp.32101013133523,1811.30978857621,1813.0,5.02764253310932
20002,1947.04008618686,1951.0,5.04302255705981
11156,1923.85835798132,1925.0,5.05392804386752
nyp.33433074937610,1827.12362049832,1827.0,5.06446421391449
coo.31924051019580,1911.06940038343,1912.0,5.06566936877854
11921,1946.59076667457,1950.0,5.06759886975826
11877,1950.94790494447,1949.0,5.08343696320795
20139,1952.98788596721,1954.0,5.08694872398376
dul1.ark+=13960=t0tq6sw6t,1808.9881969403,1807.0,5.09014466329887
10270,1923.49147042353,1927.0,5.09243496211588
10298,1926.98706383347,1928.0,5.11523139584692
21569,1980.01836169382,1978.0,5.13181143720795
20794,1965.19743145176,1968.0,5.1434041455889
23117,1987.67447454013,1989.0,5.16662212819242
11928,1953.97459037745,1950.0,5.17506311265388
21412,1976.85300413528,1977.0,5.17548088799206
nyp.33433075768253,1826.9661331023,1826.0,5.1782594255493
21488,1979.92165602453,1978.0,5.18674892580709
nyp.33433076053762,1914.51413504493,1913.0,5.19438511222009
21341,1972.28024892963,1976.0,5.20528204598119
nyp.33433074955109,1789.71021074448,1790.0,5.20584563784798
20632,1965.7167609264,1965.0,5.23370551484213
uc2.ark+=13960=t4bn9zk9h,1889.28693329022,1887.0,5.24380679462085
njp.32101013566920,1896.1017107416,1892.0,5.24561156026488
20474,1964.20035812028,1961.0,5.26997626063701
njp.32101063580268,1884.46806760495,1886.0,5.28032634383153
dul1.ark+=13960=t3dz0xh78,1876.03293521147,1880.0,5.28141652534984
20136,1958.24951988538,1954.0,5.28974974804819
11404,1935.80592877943,1933.0,5.30261430746016
uiuo.ark+=13960=t3jw90j80,1815.36638681927,1818.0,5.34681969892133
11101,1935.59703928523,1940.0,5.35578006428269
11121,1923.36922861886,1924.0,5.38711374636811
11300,1927.88966170363,1930.0,5.39250149435102
21670,1979.74336593917,1979.0,5.39507757081567
10832,1948.09942802911,1946.0,5.39831983961497
11907,1945.64412704279,1950.0,5.40344772564137
uiuo.ark+=13960=t48p6974b,1867.60320967505,1868.0,5.41232799364885
uc2.ark+=13960=t5v69m62h,1912.62232218261,1911.0,5.42351279912921
nyp.33433075827018,1890.14152487486,1893.0,5.4293412427937
21127,1971.38888042931,1973.0,5.43185214417058
nyp.33433074850870,1904.75606492682,1904.0,5.43215901775406
11302,1934.64213680611,1930.0,5.44691875259738
21286,1978.08932205627,1975.0,5.4484826266293
uc2.ark+=13960=t0js9hc64,1888.29002737906,1887.0,5.44942909124891
uc2.ark+=13960=t3bz6dj56,1859.54121965219,1863.0,5.46102304787616
10096,1936.25578827741,1931.0,5.47671201915921
11584,1940.10352992329,1938.0,5.48682919675743
uiuo.ark+=13960=t1rf6b61z,1821.32310143452,1820.0,5.49242562461104
nyp.33433076047608,1920.52643996874,1921.0,5.49661669533245
20380,1954.17457047629,1959.0,5.49841360956742
11234,1931.7187595912,1928.0,5.50538327849192
20032,1948.27231985021,1951.0,5.51632200724392
uc2.ark+=13960=t1dj5cf2j,1884.98796715418,1886.0,5.52834986060342
22649,1983.06730884602,1987.0,5.53388840873637
uva.x001307832,1887.61111767955,1888.0,5.54858441212824
uc1.b3578701,1876.21045289543,1880.0,5.5550139340049
10853,1946.77110213731,1947.0,5.55906703687855
21079,1972.12616020331,1973.0,5.55935413838712
nyp.33433074911532,1786.24559595799,1788.0,5.57179909258931
njp.32101062743727,1799.9523435724,1796.0,5.58341072144793
23474,1948.94493149699,1953.0,5.58417970072846
10353,1935.05316677606,1931.0,5.59741009499417
nyp.33433075766463,1903.39619606769,1908.0,5.60896374790321
nyp.33433076024060,1896.8056967384,1900.0,5.61249905286102
uiuo.ark+=13960=t15m6kw75,1828.61542940929,1828.0,5.61868662831025
10968,1945.07871312837,1949.0,5.63217169481326
uiuo.ark+=13960=t6251zn27,1808.59449678037,1810.0,5.63755434005104
uc2.ark+=13960=t2h70dt42,1892.89224646953,1888.0,5.64390744172153
uc2.ark+=13960=t8df6mw4h,1853.760781534,1850.0,5.6512633980625
10357,1936.4335742149,1931.0,5.66178451049785
22499,1984.19337364335,1986.0,5.66903007486476
10774,1945.95817207454,1945.0,5.67214138731005
11013,1954.52052176003,1950.0,5.67765959839573
uc2.ark+=13960=t8z89353s,1910.32258370454,1913.0,5.68659952657114
21845,1976.72767199912,1981.0,5.69313011845629
11277,1926.31236817567,1929.0,5.71212678846685
11305,1926.14414295932,1930.0,5.7254845197509
4698,1920.54106095597,1922.0,5.73168539577613
20821,1969.58922623785,1969.0,5.74289970415488
21035,1969.07379507107,1972.0,5.75936741404009
11552,1934.25110710632,1937.0,5.76417746008318
21877,1984.27804477054,1981.0,5.77147333814071
20044,1947.95401841894,1952.0,5.77978198564723
20833,1967.13447663655,1969.0,5.79108298206651
mdp.39015066036578,1891.76447301244,1889.0,5.79251828251501
nyp.33433076054620,1921.24466755433,1919.0,5.79507642197486
nyp.33433039680552,1884.78530137534,1890.0,5.8010878691054
21453,1978.93955530801,1977.0,5.84028696437114
mdp.39015066083661,1893.27251172112,1890.0,5.84880536600024
