,docid,group_label,genres,year
0,1,1,teamred | random,1760
1,2,1,teamred | random,1761
2,3,1,teamblack | random,1764
3,4,1,teamred | pbgothic | stew | lavin_ghost,1764
4,5,1,teamblack | anatscifi,1771
5,6,1,teamblack | random,1777
6,7,1,teamblack | pbgothic | lavin_ghost,1777
7,8,1,teamblack | random,1780
8,9,8,teamblack | random,1780
9,10,1,teamred | random,1785
10,11,1,teamblack | pbgothic | stew | lavin_deranged,1785
11,12,1,teamred | random,1786
12,13,1,teamblack | pbgothic | stew | lavin_magic,1786
13,14,1,teamred | random,1788
14,15,1,teamblack | pbgothic | stew | lavin_deranged,1788
15,16,1,teamred | pbgothic | stew | lavin_deranged,1788
16,17,1,teamblack | random,1790
17,18,1,teamred | pbgothic | stew | lavin_deranged,1790
18,19,1,teamblack | random,1790
19,20,1,teamred | pbgothic | stew | lavin_deranged,1790
20,21,1,teamblack | random,1791
21,22,1,teamblack | stangothic,1791
22,23,1,teamblack | pbgothic | stew | lavin_deranged,1791
23,24,1,teamred | pbgothic | stew | lavin_deranged,1794
24,25,1,teamred | random,1794
25,26,1,teamred | random,1794
26,27,1,teamblack | pbgothic | stew,1794
27,28,1,teamred | pbgothic,1794
28,29,1,teamblack | random,1794
29,30,1,teamred | random,1795
30,31,1,teamblack | pbgothic | lavin_magic,1796
31,32,1,teamblack | pbgothic | lavin_ghost,1796
32,33,1,teamblack | random,1796
33,34,1,teamblack | pbgothic | stew | lavin_magic,1796
34,35,1,teamred | pbgothic,1798
35,36,1,teamred | pbgothic | lavin_magic | lavin_deranged,1799
36,37,1,teamred | random,1799
37,38,1,teamred | random,1800
38,39,1,teamred | random,1800
39,40,4,lockandkey | teamblack,1800
40,41,5,teamred | lockandkey | stew,1800
41,42,3,teamred | random,1801
42,43,3,teamred | random,1801
43,44,1,teamblack | stangothic,1801
44,45,1,teamblack | stangothic,1802
45,46,1,teamred | random,1802
46,47,1,teamblack | random,1803
47,48,1,teamred | stangothic,1803
48,49,1,teamblack | stangothic,1803
49,50,1,teamblack | random,1803
50,51,1,teamblack | stangothic,1803
51,52,1,teamred | random,1803
52,53,1,teamblack | stangothic | stew,1803
53,54,1,teamblack | stangothic,1803
54,55,1,teamred | stangothic | stew,1803
55,56,7,teamred | random,1806
56,57,1,teamblack | stangothic | stew,1806
57,58,1,teamred | random,1807
58,59,1,teamred | stangothic,1807
59,60,1,teamblack | pbgothic,1807
60,61,1,teamred | stangothic,1807
61,62,1,teamblack | random,1807
62,63,1,teamred | random,1807
63,64,1,teamred | random,1809
64,65,1,teamred | stangothic,1809
65,66,1,teamblack | random,1810
66,67,1,teamblack | stangothic,1810
67,68,1,teamred | stangothic | stew,1812
68,69,1,teamblack | random,1812
69,70,1,teamblack | random,1813
70,71,1,teamred | stangothic,1813
71,72,3,teamblack | pbgothic | lavin_deranged,1816
72,73,1,teamblack | random,1816
73,74,3,teamred | random,1816
74,75,1,teamblack | pbgothic,1818
75,76,1,teamblack | lochorror | stew,1818
76,77,1,teamblack | random,1818
77,78,1,teamred | random,1818
78,79,3,stangothic | femscifi | teamred | stew,1818
79,80,1,teamred | lochorror | stew,1818
80,81,1,teamblack | stangothic,1818
81,82,1,teamred | lochorror,1818
82,83,1,teamblack | lochorror,1818
83,84,3,teamblack | pbgothic | lavin_magic | lavin_deranged,1820
84,85,3,teamblack | random,1820
85,86,3,teamblack | random,1820
86,87,3,teamblack | pbgothic | lavin_ghost | lavin_magic,1820
87,88,3,teamblack | pbgothic | stew | lavin_magic | lavin_deranged,1820
88,89,3,teamred | pbgothic | stew | lavin_magic | lavin_deranged,1821
89,90,3,teamred | random,1821
90,91,1,teamred | random,1821
91,92,8,teamblack | random,1823
92,93,1,teamblack | stangothic,1823
93,94,1,teamred | stangothic,1823
94,95,3,teamblack | random,1824
95,96,3,teamblack | random,1826
96,97,3,teamblack | femscifi | stew,1826
97,98,3,teamred | locghost | stew | lavin_ghost,1826
98,99,3,teamred | femscifi,1826
99,100,1,teamblack | pbgothic,1826
100,101,1,teamred | pbgothic | stew,1826
101,102,3,teamred | random,1826
102,103,3,teamblack | pbgothic | stew,1827
103,104,1,teamblack | random,1827
104,105,3,teamred | femscifi | stew,1827
105,106,8,newgate | teamblack,1828
106,107,8,newgate | teamblack,1828
107,108,3,teamred | det100,1829
108,109,3,teamred | random,1829
109,110,3,teamred | newgate | stew,1830
110,111,3,teamred | locdetmyst | stew,1832
111,112,3,teamblack | random,1832
112,113,1,teamred | random,1832
113,114,3,teamblack | random,1832
114,115,3,teamred | random,1832
115,116,1,teamblack | pbgothic | lavin_magic,1832
116,117,3,teamred | newgate,1832
117,118,3,teamred | locdetmyst | stew,1832
118,119,3,teamred | random,1832
119,120,3,teamred | locdetmyst | stew,1832
120,121,3,teamblack | pbgothic,1833
121,122,3,teamred | random,1833
122,123,4,lockandkey | teamblack,1834
123,124,3,teamblack | random,1834
124,125,3,teamred | newgate | stangothic | lavin_ghost | lavin_magic,1834
125,126,3,teamblack | locscifi,1836
126,127,8,newgate | teamblack | stew,1837
127,128,3,teamblack | pbgothic | lavin_ghost,1837
128,129,3,teamblack | random,1837
129,130,8,teamred | pbgothic | stew,1838
130,131,3,teamblack | random,1838
131,132,0,teamblack | anatscifi | drop,1838
132,133,3,teamred | random,1838
133,134,3,teamred | random,1840
134,135,1,teamred | pbgothic | stew,1840
135,136,1,newgate | teamblack,1840
136,137,8,teamblack | pbgothic | stew,1841
137,138,0,det100 | teamblack,1841
138,139,3,teamblack | random,1841
139,140,0,teamred | det100 | stew,1842
140,141,3,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,1843
141,142,3,teamblack | random,1843
142,143,3,teamblack | random,1843
143,144,3,teamred | pbgothic | stew,1844
144,145,8,teamblack | random,1844
145,146,0,teamred | det100,1845
146,147,3,det100 | teamblack | drop,1845
147,148,3,teamred | random,1846
148,149,3,teamred | pbgothic | stew,1846
149,150,3,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,1846
150,151,3,teamred | pbgothic | lavin_deranged,1847
151,152,3,teamred | pbgothic | stew | lavin_deranged,1847
152,153,5,teamred | random,1847
153,154,3,teamred | random,1847
154,155,3,teamblack | random,1847
155,156,3,teamred | pbgothic | stew | lavin_deranged,1847
156,157,3,teamred | locghost | stew | lavin_ghost,1848
157,158,3,teamblack | random,1848
158,159,8,teamblack | random,1849
159,160,3,teamblack | pbgothic | lavin_magic,1849
160,161,3,teamblack | pbgothic,1850
161,162,3,teamred | pbgothic | stew,1850
162,163,3,teamblack | random,1850
163,164,3,teamblack | random,1850
164,165,1,teamred | random,1851
165,166,3,teamblack | pbgothic,1851
166,167,3,teamred | random,1853
167,168,3,teamblack | pbgothic,1853
168,169,3,teamblack | random,1853
169,170,8,teamred | det100,1853
170,171,3,teamred | random,1858
171,172,3,teamblack | pbgothic,1858
172,173,3,teamblack | random,1858
173,174,3,teamblack | pbgothic | stew | lavin_magic,1858
174,175,2,det100 | teamblack,1859
175,176,8,teamblack | locdetmyst,1859
176,177,3,teamred | random,1859
177,178,3,teamred | random,1859
178,179,3,teamred | sensation | pbgothic | stew | lavin_deranged,1860
179,180,3,teamred | random,1860
180,181,8,sensation | teamblack | stew,1861
181,182,3,teamred | sensation | stew,1862
182,183,3,teamred | random,1863
183,184,3,teamred | sensation | stew,1863
184,185,4,teamred | blcrime,1863
185,186,3,sensation | teamblack | stew,1863
186,187,3,sensation | teamblack | stew,1863
