doc_id,oed_ratio_no_set,oed_ratio_set
nyp.33433075840177,0.602526439482961,0.335858585858586
hvd.hw3q0s,0.646256753280165,0.231643356643357
njp.32101067487007,0.596343692870201,0.247590361445783
nyp.33433081958500,0.50808975885024,0.216801101711588
nyp.33433074955331,0.691808825602707,0.294807370184255
uc2.ark+=13960=t1td9p949,0.665540540540541,0.301996672212978
hvd.hn6nee,0.518847828100398,0.238048461034709
mdp.39015078572263,0.929594038046676,0.387951807228916
mdp.39015024230610,0.666365416478385,0.292160437556974
mdp.39015039369650,0.553337096091435,0.219156689224362
dul1.ark+=13960=t3vt2js1t,0.533384107641533,0.227379278012189
uiuo.ark+=13960=t9h41nx14,0.541090410332609,0.24734768111549
dul1.ark+=13960=t6834qb4k,0.400461893764434,0.258471237194641
nyp.33433074911532,0.619457831325301,0.238382099827883
nyp.33433074911508,0.606799572801709,0.25554418287274
nyp.33433074918784,0.485113210911036,0.252615844544096
nyp.33433074955091,0.414548641542507,0.244512899499422
njp.32101074629542,0.698054105363075,0.279372496662216
nyp.33433074955109,0.415650609634219,0.236589698046181
njp.32101066479765,0.50424192665572,0.229560585885486
mdp.39015033367668,0.728663164039696,0.318534482758621
nnc1.cu58506756,0.456921783985858,0.240775880244571
uva.x000498882,0.480047987660316,0.19502353732347
nnc1.1002330709,0.459452916969257,0.291428571428571
mdp.39015021250124,0.661488600804649,0.248005801305294
njp.32101051650776,0.49837928688623,0.23921568627451
mdp.39015063950102,0.513736982573656,0.245697643632513
mdp.39015063931474,0.683765377855888,0.251883393383557
nnc1.0037104152,0.610387894006476,0.234448574969021
nyp.33433074874300,0.574454564710866,0.287018255578093
njp.32101062743727,0.526825182634591,0.236006051437216
uc2.ark+=13960=t5t728t8q,0.600190199149698,0.219743711438064
nyp.33433074874748,0.521540762902019,0.260383844170725
mdp.39015005076883,0.435866328443807,0.198737432779986
mdp.39015003931113,0.463247790618627,0.177323103154305
nyp.33433074911771,0.544485093796217,0.245743473325766
mdp.39015023189999,0.538355368298707,0.247135416666667
nyp.33433051569915,0.715002427577278,0.308485329103886
njp.32101068177102,0.647212828624414,0.302301614565441
njp.32101068177094,0.620773750138566,0.282645755199455
uiuo.ark+=13960=t0ns19n7m,0.606229720960415,0.303044280442804
uiuo.ark+=13960=t2988vx2b,0.510785671878092,0.290131878126421
nyp.33433074954979,0.504217664571618,0.231598513011152
uc1.b250120,0.568033429093758,0.236213235294118
uiuo.ark+=13960=t8w95tz11,0.603896718055424,0.27066960075448
uiuo.ark+=13960=t8nc69j1b,0.442547357926221,0.216286986122021
uc1.b248234,0.465224111282844,0.222944849115505
nyp.33433074951611,0.446248741188318,0.216993464052288
hvd.hwkdax,0.553347903834691,0.233729216152019
uiuo.ark+=13960=t1gh9v49g,0.442076954902772,0.208970976253298
uiuo.ark+=13960=t6xw4rw1j,0.446597477666842,0.221007731271661
uiuo.ark+=13960=t3xs6cp6m,0.609045962277971,0.297601566324033
uiuo.ark+=13960=t86h4xr9x,0.359558316080055,0.222606689734717
dul1.ark+=13960=t3dz14r97,0.657904525728456,0.289813486370158
nyp.33433067303937,0.499917171917967,0.22093023255814
njp.32101037977574,0.501251524292407,0.208133367011872
uiuo.ark+=13960=t18k7vt5k,0.547038821195806,0.303916941953752
uc2.ark+=13960=t82j6cs08,0.76123595505618,0.337748344370861
dul1.ark+=13960=t0tq6sw6t,0.659772793475095,0.288520801232666
nyp.33433074915970,0.523534409515718,0.206797616420216
uiuo.ark+=13960=t9f481w8n,0.430535769588108,0.209869848156182
uiuo.ark+=13960=t7br98r5d,0.66124741353828,0.276516561220692
uiuo.ark+=13960=t6251zn27,0.440346009466297,0.198476805908147
uiuo.ark+=13960=t5z615j7x,0.589862258953168,0.274636510500808
uiuo.ark+=13960=t95723s7x,0.513628966639544,0.218551461245235
uiuo.ark+=13960=t09w1328x,0.482037377747652,0.238291605301915
njp.32101013133523,0.490316986222179,0.239652870493992
njp.32101038161780,0.598816492746246,0.22286012526096
mdp.39015063759552,0.517405839090706,0.190668202764977
uc1.31158008377706,0.686202898550725,0.243564904511486
uiuo.ark+=13960=t2b85z60c,0.706579608237067,0.277076157673173
uc1.b287473,0.673780975219824,0.263019980347199
mdp.39015063556271,0.693176357520423,0.270235407932925
mdp.39015004200997,0.578353937728938,0.236471990464839
