doc_id,gl_ratio_no_set,gl_ratio_set
nyp.33433075840177,0.921155094094744,0.520480225988701
hvd.hw3q0s,0.942211889737629,0.388145315487572
njp.32101067487007,1.04711527974697,0.425073099415205
nyp.33433081958500,0.732319462586303,0.390183440753594
nyp.33433074955331,1.01997422680412,0.482859941234084
uc2.ark+=13960=t1td9p949,1.25372966909703,0.469760900140647
hvd.hn6nee,0.787427972760608,0.387984496124031
mdp.39015078572263,1.48847707293894,0.609720885466795
mdp.39015024230610,1.05915833045878,0.451889168765743
mdp.39015039369650,0.865351976076942,0.389150943396226
dul1.ark+=13960=t3vt2js1t,0.957335602285159,0.39527027027027
uiuo.ark+=13960=t9h41nx14,0.900068540095956,0.437054631828979
dul1.ark+=13960=t6834qb4k,0.622582331416623,0.425474254742547
nyp.33433074911532,1.07219389640139,0.421756414889772
nyp.33433074911508,1.03966799611944,0.438733552631579
nyp.33433074918784,0.768986672308018,0.420829406220547
nyp.33433074955091,0.685027059530968,0.396543883583447
njp.32101074629542,1.09485863988648,0.430960715674835
nyp.33433074955109,0.654594017094017,0.379918032786885
njp.32101066479765,0.709746545481416,0.384197056941779
mdp.39015033367668,1.30020196191575,0.499016715830875
nnc1.cu58506756,0.849782616137756,0.405405405405405
uva.x000498882,0.760610536681438,0.348947243908209
nnc1.1002330709,0.784733662822625,0.448992443324937
mdp.39015021250124,1.04620157085341,0.410659272951325
njp.32101051650776,0.880734364984891,0.407964601769912
mdp.39015063950102,0.901048846269104,0.416392363396972
mdp.39015063931474,1.03237904738092,0.422480620155039
nnc1.0037104152,0.961971076593465,0.390854995302224
nyp.33433074874300,0.952757884156301,0.47344398340249
njp.32101062743727,0.926693270649975,0.41357822236799
uc2.ark+=13960=t5t728t8q,1.02243409983174,0.379045177827619
nyp.33433074874748,0.84411334079752,0.434196135617937
mdp.39015005076883,0.692858465526819,0.343161094224924
mdp.39015003931113,0.68843750731285,0.331230925737538
nyp.33433074911771,0.866641832743528,0.41791604197901
mdp.39015023189999,0.933262991295173,0.411549950215732
nyp.33433051569915,1.10319500550863,0.500968992248062
njp.32101068177102,1.12121623455952,0.492063492063492
njp.32101068177094,1.10250102501025,0.497888513513513
uiuo.ark+=13960=t0ns19n7m,0.963785542509549,0.486486486486487
uiuo.ark+=13960=t2988vx2b,0.747851650836725,0.446750409612234
nyp.33433074954979,0.897684332913477,0.373807458803122
uc1.b250120,1.02709973753281,0.421410891089109
uiuo.ark+=13960=t8w95tz11,0.9717082616179,0.445
uiuo.ark+=13960=t8nc69j1b,0.788239875389408,0.387321490769767
uc1.b248234,0.730268717255366,0.358842443729904
nyp.33433074951611,0.787400957087942,0.388830715532286
hvd.hwkdax,0.89974333048145,0.416974169741697
uiuo.ark+=13960=t1gh9v49g,0.794918480509807,0.374103177314657
uiuo.ark+=13960=t6xw4rw1j,0.840181893344357,0.388468468468468
uiuo.ark+=13960=t3xs6cp6m,1.00566942869603,0.475265017667845
uiuo.ark+=13960=t86h4xr9x,0.591966173361522,0.360496014171833
dul1.ark+=13960=t3dz14r97,1.22675736961451,0.507219375873312
nyp.33433067303937,0.815271030182472,0.376656472986748
njp.32101037977574,0.85586196503918,0.37449118046133
uiuo.ark+=13960=t18k7vt5k,1.03930204980518,0.490909090909091
uc2.ark+=13960=t82j6cs08,1.1092936802974,0.544973544973545
dul1.ark+=13960=t0tq6sw6t,1.19856549641374,0.49755859375
nyp.33433074915970,0.830437273248043,0.355058631033542
uiuo.ark+=13960=t9f481w8n,0.707336408186797,0.385211267605634
uiuo.ark+=13960=t7br98r5d,1.14342437733125,0.486633439057544
uiuo.ark+=13960=t6251zn27,0.746089213744108,0.366590088611749
uiuo.ark+=13960=t5z615j7x,0.951908908238446,0.486915887850467
uiuo.ark+=13960=t95723s7x,0.88303373553312,0.361992768179992
uiuo.ark+=13960=t09w1328x,0.822314981949459,0.411194029850746
njp.32101013133523,0.805587229190422,0.398070469798658
njp.32101038161780,1.13142673521851,0.380053015241882
mdp.39015063759552,0.951724137931034,0.345761802575107
uc1.31158008377706,1.23135135135135,0.417462482946794
uiuo.ark+=13960=t2b85z60c,1.25565006075334,0.446140035906643
uc1.b287473,1.17140337122697,0.432059866089011
mdp.39015063556271,1.23773129525342,0.451984126984127
mdp.39015004200997,0.876663542642924,0.411032028469751
uiuo.ark+=13960=t4km00443,1.25808305791062,0.455014058106842
uiuo.ark+=13960=t3jw90j80,0.909448431815947,0.41913282863042
uiuo.ark+=13960=t6zw24n6x,1.11804767309875,0.428571428571429
uiuo.ark+=13960=t09w14g77,1.33252565564424,0.473897389738974
mdp.39015021039998,0.968466060929984,0.424071991001125
mdp.39015063967478,0.727722251446607,0.374955908289242
uiuo.ark+=13960=t1rf6b61z,1.23391760028912,0.458270676691729
uva.x000960744,1.0765306122449,0.500391542678152
