doc_id,walker_ratio_no_set,walker_ratio_set
nyp.33433075840177,0.520074240500147,0.691336971350614
hvd.hw3q0s,0.563679280742111,0.534792206545734
njp.32101067487007,0.517907043972634,0.612971391417425
nyp.33433081958500,0.526105033829915,0.465105908584169
nyp.33433074955331,0.570318530334997,0.677268475210477
uc2.ark+=13960=t1td9p949,0.549500483403158,0.632555094915994
hvd.hn6nee,0.552978444509176,0.645324651835775
mdp.39015078572263,0.534012753042074,0.551311475409836
mdp.39015024230610,0.533192782898608,0.593366357958217
mdp.39015039369650,0.563845895020188,0.627738306690349
dul1.ark+=13960=t3vt2js1t,0.520438847478632,0.502100840336134
uiuo.ark+=13960=t9h41nx14,0.500315831030399,0.646459500764136
dul1.ark+=13960=t6834qb4k,0.489595872742906,0.569942196531792
nyp.33433074911532,0.512833406667086,0.574715991843868
nyp.33433074911508,0.532413928653323,0.649871566884015
nyp.33433074918784,0.557202176403207,0.690311031550683
nyp.33433074955091,0.537815905402272,0.665505226480836
njp.32101074629542,0.534764952005907,0.574260492488772
nyp.33433074955109,0.541898962175144,0.678540017590149
njp.32101066479765,0.544119951935636,0.644847605224964
mdp.39015033367668,0.518960110843725,0.591721920835845
nnc1.cu58506756,0.524574181981174,0.518450523223793
uva.x000498882,0.57592766585726,0.641501775748351
nnc1.1002330709,0.504920104721495,0.654286598576292
mdp.39015021250124,0.516003377211498,0.608479455639885
njp.32101051650776,0.522194934765925,0.598500423267626
mdp.39015063950102,0.492489655563323,0.630259623992838
mdp.39015063931474,0.559276053172112,0.668740573152338
nnc1.0037104152,0.552123180560568,0.635490605427975
nyp.33433074874300,0.496960377628379,0.565906210392902
njp.32101062743727,0.546938999414862,0.638177874186551
uc2.ark+=13960=t5t728t8q,0.503874928064454,0.584148355137813
nyp.33433074874748,0.512541423067597,0.56227610912097
mdp.39015005076883,0.552011258355811,0.644521138912856
mdp.39015003931113,0.583237230757784,0.634766649187205
nyp.33433074911771,0.52108597803962,0.56206652512385
mdp.39015023189999,0.516679976300265,0.533459895586141
nyp.33433051569915,0.498740554156171,0.643054669219315
njp.32101068177102,0.492272727272727,0.669641161951775
njp.32101068177094,0.517407271391847,0.630241648898365
uiuo.ark+=13960=t0ns19n7m,0.514353645649877,0.565739570164349
uiuo.ark+=13960=t2988vx2b,0.552231718898386,0.6994915707787
nyp.33433074954979,0.519288210994598,0.65492341356674
uc1.b250120,0.512548941775075,0.523650412446486
uiuo.ark+=13960=t8w95tz11,0.539029396186441,0.537933008874893
uiuo.ark+=13960=t8nc69j1b,0.52651031695384,0.626069373152901
uc1.b248234,0.584879948085659,0.653368519093449
nyp.33433074951611,0.520294616362866,0.636450079239303
hvd.hwkdax,0.494548304557295,0.563623462630085
uiuo.ark+=13960=t1gh9v49g,0.516898890433894,0.619981612013485
uiuo.ark+=13960=t6xw4rw1j,0.510572155969449,0.619674185463659
uiuo.ark+=13960=t3xs6cp6m,0.473343443770415,0.578177458033573
