,docid,group_label,genres,year,author,title,processed_genre,final_genre,lavin_genre
0,1,0,teamred | random,1760,"Lesuire, Robert Martin,",The savages of Europe,[],non_genre,no_lavin_tag
647,648,0,teamred | chiscifi,1942,"Stapledon, Olaf,",Darkness and the light,['scifi'],scifi,no_lavin_tag
648,649,0,chirandom | teamred | chimyst,1943,"Marsh, Ngaio,",Colour scheme,['crime'],crime,no_lavin_tag
649,650,0,chirandom | teamred | chimyst,1943,"Wentworth, Patricia,",Miss Silver deals with de,['crime'],crime,no_lavin_tag
650,651,0,chirandom | teamblack,1943,"Green, Henry,",Caught,[],non_genre,no_lavin_tag
651,652,0,hardboiled | chimyst | teamred,1943,"Cain, James M.",Double indemnity,['crime'],crime,no_lavin_tag
652,653,0,teamred | det100 | chimyst | cozy | stew,1943,"Queen, Ellery,",There was an old woman,['crime'],crime,no_lavin_tag
653,654,0,teamred | chifantasy | chiscifi,1944,"Burroughs, Edgar Rice,",Land of terror,['scifi'],scifi,no_lavin_tag
654,655,0,chirandom | teamred | chimyst,1944,"Brackett, Leigh,",No good from a corpse,['crime'],crime,no_lavin_tag
655,656,0,chifantasy | teamblack | chimyst,1944,"Hughes, Dorothy B.",The delicate ape,['crime'],crime,no_lavin_tag
656,657,0,chirandom | teamred,1944,"Joyce, James,",Stephen hero,[],non_genre,no_lavin_tag
657,658,0,chirandom | teamred,1944,"Walker, Mildred",Winter wheat,[],non_genre,no_lavin_tag
658,659,0,chifantasy | teamblack | chiscifi,1945,"Lewis, C. S.",That hideous strength,['scifi'],scifi,no_lavin_tag
646,647,0,chirandom | teamblack | chimyst | stew,1942,"Christie, Agatha,",Five little pigs,['crime'],crime,no_lavin_tag
659,660,0,hardboiled | teamblack | chimyst,1945,"Hughes, Dorothy B. 1904- ",Dread journey,['crime'],crime,no_lavin_tag
662,663,0,chirandom | teamred,1945,"Stein, Gertrude,",Wars I have seen,[],non_genre,no_lavin_tag
663,664,0,teamred | chimyst,1945,"Armstrong, Charlotte,",The innocent flower,['crime'],crime,no_lavin_tag
664,665,0,chirandom | teamblack,1946,"Koestler, Arthur,",Thieves in the night,[],non_genre,no_lavin_tag
665,666,0,chirandom | teamblack,1946,"Forester, C. S.",Lord Hornblower,[],non_genre,no_lavin_tag
666,667,0,teamred | chiscifi | stew,1946,"Taine, John,",The time stream,['scifi'],scifi,no_lavin_tag
667,668,0,teamblack | chiscifi | stew,1946,"Sherman, Harold M.",The green man,['scifi'],scifi,no_lavin_tag
