,text,range,OED ratio,percentile,Epoch mean,standard_deviation,>+1 std of mean value
0,lovecraft_1920s_a,1800-1834,0.28859060402684567,0.8414634146341463,0.2527380560966952,0.03641768154729868,False
2,lovecraft_1920s_a,1835-1869,0.28859060402684567,0.8235294117647058,0.25391319804881085,0.04038382257167895,False
4,lovecraft_1920s_a,1870-1904,0.28859060402684567,0.5755395683453237,0.29146941170078317,0.05669396682920921,False
1,lovecraft_1920s_a,1905-1939,0.28859060402684567,0.603112840466926,0.2988412567357455,0.07509390909479267,False
3,lovecraft_1920s_a,1940-1974,0.28859060402684567,0.4808510638297872,0.29703493800256753,0.05888796068853668,False
5,lovecraft_1920s_b,1800-1834,0.2417910447761194,0.4878048780487805,0.2527380560966952,0.03641768154729868,False
7,lovecraft_1920s_b,1835-1869,0.2417910447761194,0.4823529411764706,0.25391319804881085,0.04038382257167895,False
9,lovecraft_1920s_b,1870-1904,0.2417910447761194,0.16546762589928057,0.29146941170078317,0.05669396682920921,False
6,lovecraft_1920s_b,1905-1939,0.2417910447761194,0.13618677042801555,0.2988412567357455,0.07509390909479267,False
8,lovecraft_1920s_b,1940-1974,0.2417910447761194,0.13617021276595745,0.29703493800256753,0.05888796068853668,False
10,lovecraft_1920s_c,1800-1834,0.2544206914753233,0.5609756097560976,0.2527380560966952,0.03641768154729868,False
12,lovecraft_1920s_c,1835-1869,0.2544206914753233,0.5647058823529412,0.25391319804881085,0.04038382257167895,False
14,lovecraft_1920s_c,1870-1904,0.2544206914753233,0.2589928057553957,0.29146941170078317,0.05669396682920921,False
11,lovecraft_1920s_c,1905-1939,0.2544206914753233,0.23735408560311283,0.2988412567357455,0.07509390909479267,False
13,lovecraft_1920s_c,1940-1974,0.2544206914753233,0.20851063829787234,0.29703493800256753,0.05888796068853668,False
15,lovecraft_early,1800-1834,0.27227059611520427,0.6951219512195121,0.2527380560966952,0.03641768154729868,False
17,lovecraft_early,1835-1869,0.27227059611520427,0.7529411764705882,0.25391319804881085,0.04038382257167895,False
