position,big_genres,dates,authors,genres,lavin_genres,ids,titles,correct,predicted,probability_gothic,target_binary,predicted_binary,predicted_binary_false
867,gothic,1976,Farris%2C+John%2C,teamblack | chihorror | stew | lavin_magic,lavin_magic,868,The+fury,0,not gothic,0.179798985,0,1,0
822,gothic,1968,Oates%2C+Joyce+Carol%2C,teamred | pbgothic | chihorror | lavin_magic,lavin_magic,823,Expensive+people,0,not gothic,0.181278746,0,1,0
589,non_genre,1932,Dos+Passos%2C+John%2C,chirandom | teamred,no_lavin_tag,590,1919,1,not gothic,0.181409115,1,1,0
367,gothic,1906,Blackwood%2C+Algernon%2C,teamblack | pbgothic | stew | lavin_ghost,lavin_ghost,368,The+empty+house,0,not gothic,0.184838444,0,1,0
538,non_genre,1927,Hill%2C+Grace+Livingston%2C,chirandom | teamblack,no_lavin_tag,539,Job%27s+niece,1,not gothic,0.18585013,1,1,0
423,crime,1913,Reeve%2C+Arthur+B.,teamred | det100,no_lavin_tag,424,Constance+Dunlap%2C+woman+d,1,not gothic,0.18674485,1,1,0
843,gothic,1971,Blatty%2C+William+Peter,teamblack | pbgothic | lavin_magic,lavin_magic,844,The+exorcist,0,not gothic,0.189350271,0,1,0
868,gothic,1976,Rice%2C+Anne,teamblack | pbgothic | lavin_magic,lavin_magic,869,Interview+with+the+vampir,0,not gothic,0.189369555,0,1,0
765,gothic,1959,Bloch%2C+Robert%2C,teamblack | pbgothic | lavin_slasher,lavin_slasher,766,Psycho,0,not gothic,0.189443883,0,1,0
582,crime,1932,Snow%2C+C.+P.,teamblack | chimyst | stew,no_lavin_tag,583,Death+under+sail,1,not gothic,0.190314445,1,1,0
892,gothic,1978,Strieber%2C+Whitley,teamred | pbgothic,no_lavin_tag,893,The+wolfen,0,not gothic,0.190664793,0,1,0
860,non_genre,1973,Piercy%2C+Marge%2C,chirandom | teamred,no_lavin_tag,861,Small+changes,1,not gothic,0.191713594,1,1,0
900,non_genre,1978,Adler%2C+Warren%2C,chirandom | teamblack,no_lavin_tag,901,The+Casanova+embrace,1,not gothic,0.192198217,1,1,0
737,non_genre,1953,Lasswell%2C+Mary%2C,chirandom | teamred,no_lavin_tag,738,Tooner+Schooner,1,not gothic,0.197155213,1,1,0
817,crime,1967,Braun%2C+Lilian+Jackson%2C,chirandom | teamblack | chimyst,no_lavin_tag,818,The+cat+who+ate+Danish+mo,1,not gothic,0.200154667,1,1,0
895,gothic,1978,Daniels%2C+Les%2C,teamred | chihorror | stew,no_lavin_tag,896,The+black+castle,0,not gothic,0.202494153,0,1,0
967,gothic,1988,Hambly%2C+Barbara,chifantasy | teamblack | pbgothic | stew | lavin_magic,lavin_magic,968,Those+who+hunt+the+night,0,not gothic,0.216816731,0,1,0
944,crime,1986,Friedman%2C+Kinky%2C,teamblack | chimyst,no_lavin_tag,945,Greenwich+killing+time,1,not gothic,0.217479689,1,1,0
403,gothic,1911,Crawford%2C+F.+Marion,teamred | pbgothic | stew | lavin_ghost,lavin_ghost,404,Wandering+ghosts,0,not gothic,0.233366094,0,1,0
