,docid,group_label,genres,year,author,title,processed_genre,final_genre,lavin_genre
853,854,0,chirandom | teamblack,1973,"Spencer, Scott,",Last night at the brain t,[],non_genre,
811,812,0,chirandom | teamred,1966,"Capps, Benjamin,",A woman of the people,[],non_genre,
635,636,0,chirandom | teamblack | chimyst,1941,"Christie, Agatha,",N or M?,['crime'],crime,
632,633,0,teamred | chimyst | stew,1940,"Rawson, Clayton,",The headless lady,['crime'],crime,
579,580,0,teamblack | chiscifi,1931,"Cummings, Ray,",Brigands of the moon,['scifi'],scifi,
630,631,0,det100 | teamblack | hardboiled | stew,1940,"Chandler, Raymond,",Farewell My Lovely,['crime'],crime,
807,808,0,teamred | chimyst,1966,"MacDonald, John D.",Darker than amber,['crime'],crime,
580,581,0,teamblack | chimyst | stew,1931,"Rohmer, Sax,",Daughter of Fu Manchu,['crime'],crime,
673,674,0,chirandom | teamblack,1946,"Busch, Niven,",Day of the conquerors,[],non_genre,
629,630,0,hardboiled | det100 | teamblack | chimyst,1939,"Chandler, Raymond,",The big sleep,['crime'],crime,
802,803,0,chirandom | teamblack,1965,"Braithwaite, E. R.  (Edwa",Choice of straws,[],non_genre,
581,582,0,chirandom | teamblack,1931,"Armstrong, Martin,",The romantic adventures o,[],non_genre,
722,723,0,teamblack | chiscifi | stew,1951,"MacDonald, John D.",Wine of the dreamers,['scifi'],scifi,
385,386,0,det100 | teamblack,1909,"Post, Melville Davisson,","Randolph Mason, corrector",['crime'],crime,
797,798,0,chirandom | teamred | chimyst,1965,"MacDonald, John D.",A deadly shade of gold,['crime'],crime,
139,140,0,teamred | det100 | stew,1842,"Poe, Edgar Allan,",The Mystery of Marie Roget (short story),['crime'],crime,
793,794,0,chirandom | teamblack,1965,"Traver, Robert,",Laughing whitefish,[],non_genre,
791,792,0,teamblack | chiscifi,1964,"Burroughs, William S.",Nova Express,['scifi'],scifi,
790,791,0,teamblack | chiscifi,1964,"Clement, Hal,",Close to critical,['scifi'],scifi,
789,790,0,chirandom | teamblack,1964,"Snow, C. P.",Corridors of power,[],non_genre,
812,813,0,teamred | chiscifi | stew,1966,"Asimov, Isaac,",Fantastic voyage,['scifi'],scifi,
640,641,0,teamred | chimyst | chiscifi | stew,1942,"Merritt, Abraham,",Burn: witch: burn!,"['scifi', 'crime']",multi,
576,577,0,teamblack | chiscifi,1931,"Leinster, Murray,",Murder madness,['scifi'],scifi,
573,574,0,teamred | det100 | chimyst,1931,"Queen, Ellery,",The Dutch shoe mystery,['crime'],crime,
857,858,0,chirandom | teamred | chimyst,1973,"MacDonald, John D.",The scarlet ruse,['crime'],crime,
566,567,0,teamred | chimyst | stew,1930,"Oppenheim, E. Phillips,",The million pound deposit,['crime'],crime,
621,622,0,teamblack | chimyst | stew,1938,"Connington, J. J.",Murder will speak,['crime'],crime,
851,852,0,chirandom | teamblack | chiscifi,1973,"Malzberg, Barry N,",Herovit's world,['scifi'],scifi,
847,848,0,teamred | chimyst,1971,"Pronzini, Bill,",The stalker,['crime'],crime,
649,650,0,chirandom | teamred | chimyst,1943,"Wentworth, Patricia,",Miss Silver deals with de,['crime'],crime,
648,649,0,chirandom | teamred | chimyst,1943,"Marsh, Ngaio,",Colour scheme,['crime'],crime,
710,711,0,teamblack | chimyst,1950,"Crispin, Edmund,",Frequent hearses,['crime'],crime,
711,712,0,chifantasy | teamblack,1950,"Bentley, E. C.",Elephant's work,[],non_genre,
584,585,0,chirandom | teamred,1932,"Shute, Nevil,",Lonely road,[],non_genre,
839,840,0,chirandom | teamred,1970,"L'Amour, Louis,",Galloway,[],non_genre,
569,570,0,chirandom | teamblack,1931,"Williams, Charles,",Many dimensions,[],non_genre,
571,572,0,teamblack | chiscifi,1931,"Schuyler, George S.",Black no more,['scifi'],scifi,
572,573,0,det100 | teamblack,1931,"Taylor, Phoebe Atwood",The Cape Cod mystery,['crime'],crime,
831,832,0,chirandom | teamblack | chimyst | stew,1969,"Pentecost, Hugh,",Girl watcher's funeral,['crime'],crime,
830,831,0,chifantasy | teamblack,1969,"Du Maurier, Daphne,",The house on the strand,[],non_genre,
