,docid,group_label,genres,year
80,207,10,teamred | det100 | pbgothic | lavin_deranged,1868
81,219,13,teamblack | pbgothic | stew | lavin_ghost | lavin_magic | lavin_deranged,1872
82,240,10,teamred | pbgothic | stew | lavin_ghost,1878
83,256,13,teamred | pbgothic | stew,1882
84,260,13,teamred | pbgothic | lavin_magic,1885
85,268,10,teamred | pbgothic | anatscifi | stew,1886
86,270,13,teamblack | locghost | lavin_ghost,1887
87,276,13,teamred | locghost | lavin_ghost,1888
88,277,13,teamred | pbgothic | lavin_ghost,1888
89,280,6,teamblack | locghost | stew | lavin_ghost,1888
90,281,6,teamred | locghost | stew | lavin_ghost,1888
91,284,13,teamblack | pbgothic | stew,1888
92,290,6,teamblack | locghost | stew | lavin_ghost,1888
93,291,13,teamblack | locghost | lavin_ghost,1888
94,294,13,teamred | pbgothic | stew | lavin_ghost,1890
95,295,13,teamblack | locghost | lavin_ghost,1890
96,297,13,teamblack | locghost | stew | lavin_ghost,1890
97,299,13,teamblack | pbgothic | lavin_magic | lavin_deranged,1891
98,301,11,teamblack | pbgothic | stew,1891
99,308,11,teamblack | pbgothic | stew,1892
100,312,11,teamblack | pbgothic | lavin_ghost,1893
101,320,13,teamred | pbgothic | lavin_magic,1895
102,327,15,teamblack | pbgothic | stew | lavin_magic,1897
103,331,13,teamred | locghost | stew | lavin_ghost,1898
104,332,13,teamblack | locghost | lavin_ghost,1898
105,334,13,teamred | pbgothic | lavin_ghost | lavin_magic,1898
106,353,13,teamblack | pbgothic | lavin_ghost,1903
107,360,13,teamred | locghost | stew | lavin_ghost,1904
108,364,13,teamred | locghost | lavin_ghost,1905
109,366,14,teamblack | pbgothic | stew,1905
110,368,13,teamblack | pbgothic | stew | lavin_ghost,1906
111,370,13,teamred | locghost | stew | lavin_ghost,1906
112,391,13,teamred | pbgothic | lavin_ghost,1910
113,404,13,teamred | pbgothic | stew | lavin_ghost,1911
114,412,13,teamblack | locghost | lavin_ghost,1912
115,420,12,teamred | locghost | lavin_ghost,1913
116,433,13,teamred | locghost | lavin_ghost,1914
117,455,13,teamblack | locghost | stew | lavin_ghost,1918
118,462,13,teamred | pbgothic | lavin_ghost,1919
119,464,13,teamblack | locghost | stew | lavin_ghost,1919
120,467,13,teamred | pbgothic,1919
121,475,13,teamred | locghost | stew | lavin_ghost,1920
122,490,13,teamred | locghost | stew | lavin_ghost,1921
123,491,13,teamred | locghost | lavin_ghost,1921
124,499,13,teamblack | locghost | stew | lavin_ghost,1922
125,501,13,teamblack | locdetmyst | locghost | stew | lavin_ghost,1922
126,516,10,teamblack | locdetmyst | locghost | lavin_ghost,1922
127,517,13,teamblack | locdetmyst | locghost | lavin_ghost,1922
128,518,13,teamblack | locdetmyst | locghost | lavin_ghost,1922
129,542,15,teamblack | pbgothic | lavin_magic,1927
130,591,15,teamblack | pbgothic,1932
131,596,14,chifantasy | teamblack | chihorror | stew,1933
132,601,15,teamblack | pbgothic | stew,1934
133,621,15,teamred | pbgothic | stew,1938
134,676,14,teamblack | pbgothic | stew,1946
