,docid,group_label,genres,year
0,4,1,teamred | pbgothic | stew | lavin_ghost,1764
1,7,1,teamblack | pbgothic | lavin_ghost,1777
2,11,1,teamblack | pbgothic | stew | lavin_deranged,1785
3,13,1,teamblack | pbgothic | stew | lavin_magic,1786
4,15,1,teamblack | pbgothic | stew | lavin_deranged,1788
5,16,1,teamred | pbgothic | stew | lavin_deranged,1788
6,18,1,teamred | pbgothic | stew | lavin_deranged,1790
7,20,1,teamred | pbgothic | stew | lavin_deranged,1790
8,22,1,teamblack | stangothic,1791
9,23,1,teamblack | pbgothic | stew | lavin_deranged,1791
10,24,1,teamred | pbgothic | stew | lavin_deranged,1794
11,27,1,teamblack | pbgothic | stew,1794
12,28,1,teamred | pbgothic,1794
13,31,1,teamblack | pbgothic | lavin_magic,1796
14,32,1,teamblack | pbgothic | lavin_ghost,1796
15,34,1,teamblack | pbgothic | stew | lavin_magic,1796
16,35,1,teamred | pbgothic,1798
17,36,1,teamred | pbgothic | lavin_magic | lavin_deranged,1799
18,44,1,teamblack | stangothic,1801
19,45,1,teamblack | stangothic,1802
20,48,1,teamred | stangothic,1803
21,49,1,teamblack | stangothic,1803
22,51,1,teamblack | stangothic,1803
23,53,1,teamblack | stangothic | stew,1803
24,54,1,teamblack | stangothic,1803
25,55,1,teamred | stangothic | stew,1803
26,57,1,teamblack | stangothic | stew,1806
27,59,1,teamred | stangothic,1807
28,60,1,teamblack | pbgothic,1807
29,61,1,teamred | stangothic,1807
30,65,1,teamred | stangothic,1809
31,67,1,teamblack | stangothic,1810
32,68,0,teamred | stangothic | stew,1812
33,71,1,teamred | stangothic,1813
34,72,0,teamblack | pbgothic | lavin_deranged,1816
35,75,1,teamblack | pbgothic,1818
36,76,1,teamblack | lochorror | stew,1818
37,79,1,stangothic | femscifi | teamred | stew,1818
38,80,1,teamred | lochorror | stew,1818
39,81,1,teamblack | stangothic,1818
40,82,1,teamred | lochorror,1818
41,83,1,teamblack | lochorror,1818
42,84,1,teamblack | pbgothic | lavin_magic | lavin_deranged,1820
43,87,1,teamblack | pbgothic | lavin_ghost | lavin_magic,1820
44,88,1,teamblack | pbgothic | stew | lavin_magic | lavin_deranged,1820
45,89,1,teamred | pbgothic | stew | lavin_magic | lavin_deranged,1821
46,93,1,teamblack | stangothic,1823
47,94,1,teamred | stangothic,1823
48,98,1,teamred | locghost | stew | lavin_ghost,1826
49,100,1,teamblack | pbgothic,1826
50,101,1,teamred | pbgothic | stew,1826
51,103,1,teamblack | pbgothic | stew,1827
52,116,1,teamblack | pbgothic | lavin_magic,1832
53,121,1,teamblack | pbgothic,1833
54,125,1,teamred | newgate | stangothic | lavin_ghost | lavin_magic,1834
55,128,1,teamblack | pbgothic | lavin_ghost,1837
56,130,1,teamred | pbgothic | stew,1838
57,135,1,teamred | pbgothic | stew,1840
58,137,1,teamblack | pbgothic | stew,1841
59,141,1,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,1843
60,144,1,teamred | pbgothic | stew,1844
