,docid,group_label,genres,year
0,1,0,teamred | random,1760
1,2,0,teamred | random,1761
2,3,0,teamblack | random,1764
3,4,0,teamred | pbgothic | stew | lavin_ghost,1764
4,5,0,teamblack | anatscifi,1771
5,6,0,teamblack | random,1777
6,7,0,teamblack | pbgothic | lavin_ghost,1777
7,8,0,teamblack | random,1780
8,9,2,teamblack | random,1780
9,10,0,teamred | random,1785
10,11,0,teamblack | pbgothic | stew | lavin_deranged,1785
11,12,0,teamred | random,1786
12,13,0,teamblack | pbgothic | stew | lavin_magic,1786
13,14,0,teamred | random,1788
14,15,0,teamblack | pbgothic | stew | lavin_deranged,1788
15,16,0,teamred | pbgothic | stew | lavin_deranged,1788
16,17,0,teamblack | random,1790
17,18,0,teamred | pbgothic | stew | lavin_deranged,1790
18,19,0,teamblack | random,1790
19,20,0,teamred | pbgothic | stew | lavin_deranged,1790
20,21,0,teamblack | random,1791
21,22,0,teamblack | stangothic,1791
22,23,0,teamblack | pbgothic | stew | lavin_deranged,1791
23,24,0,teamred | pbgothic | stew | lavin_deranged,1794
24,25,0,teamred | random,1794
25,26,0,teamred | random,1794
26,27,0,teamblack | pbgothic | stew,1794
27,28,0,teamred | pbgothic,1794
28,29,0,teamblack | random,1794
29,30,0,teamred | random,1795
30,31,0,teamblack | pbgothic | lavin_magic,1796
31,32,0,teamblack | pbgothic | lavin_ghost,1796
32,33,0,teamblack | random,1796
33,34,0,teamblack | pbgothic | stew | lavin_magic,1796
34,35,0,teamred | pbgothic,1798
35,36,0,teamred | pbgothic | lavin_magic | lavin_deranged,1799
36,37,0,teamred | random,1799
37,38,0,teamred | random,1800
38,39,0,teamred | random,1800
39,40,9,lockandkey | teamblack,1800
40,41,0,teamred | lockandkey | stew,1800
41,42,8,teamred | random,1801
42,43,8,teamred | random,1801
43,44,0,teamblack | stangothic,1801
44,45,0,teamblack | stangothic,1802
45,46,0,teamred | random,1802
46,47,2,teamblack | random,1803
47,48,0,teamred | stangothic,1803
48,49,0,teamblack | stangothic,1803
49,50,0,teamblack | random,1803
50,51,0,teamblack | stangothic,1803
51,52,0,teamred | random,1803
52,53,0,teamblack | stangothic | stew,1803
53,54,0,teamblack | stangothic,1803
54,55,0,teamred | stangothic | stew,1803
55,56,4,teamred | random,1806
56,57,0,teamblack | stangothic | stew,1806
57,58,0,teamred | random,1807
58,59,0,teamred | stangothic,1807
59,60,0,teamblack | pbgothic,1807
60,61,0,teamred | stangothic,1807
61,62,0,teamblack | random,1807
62,63,0,teamred | random,1807
63,64,0,teamred | random,1809
64,65,0,teamred | stangothic,1809
65,66,0,teamblack | random,1810
66,67,0,teamblack | stangothic,1810
67,68,0,teamred | stangothic | stew,1812
68,69,0,teamblack | random,1812
69,70,0,teamblack | random,1813
70,71,0,teamred | stangothic,1813
71,72,4,teamblack | pbgothic | lavin_deranged,1816
72,73,0,teamblack | random,1816
73,74,0,teamred | random,1816
74,75,2,teamblack | pbgothic,1818
75,76,2,teamblack | lochorror | stew,1818
76,77,2,teamblack | random,1818
77,78,2,teamred | random,1818
78,79,0,stangothic | femscifi | teamred | stew,1818
79,80,2,teamred | lochorror | stew,1818
80,81,0,teamblack | stangothic,1818
81,82,2,teamred | lochorror,1818
82,83,2,teamblack | lochorror,1818
83,84,0,teamblack | pbgothic | lavin_magic | lavin_deranged,1820
84,85,0,teamblack | random,1820
85,86,0,teamblack | random,1820
86,87,0,teamblack | pbgothic | lavin_ghost | lavin_magic,1820
87,88,0,teamblack | pbgothic | stew | lavin_magic | lavin_deranged,1820
88,89,0,teamred | pbgothic | stew | lavin_magic | lavin_deranged,1821
89,90,2,teamred | random,1821
90,91,0,teamred | random,1821
91,92,0,teamblack | random,1823
92,93,0,teamblack | stangothic,1823
93,94,0,teamred | stangothic,1823
94,95,2,teamblack | random,1824
95,96,0,teamblack | random,1826
96,97,0,teamblack | femscifi | stew,1826
97,98,0,teamred | locghost | stew | lavin_ghost,1826
98,99,0,teamred | femscifi,1826
99,100,0,teamblack | pbgothic,1826
100,101,0,teamred | pbgothic | stew,1826
101,102,2,teamred | random,1826
102,103,0,teamblack | pbgothic | stew,1827
103,104,0,teamblack | random,1827
104,105,0,teamred | femscifi | stew,1827
105,106,8,newgate | teamblack,1828
106,107,8,newgate | teamblack,1828
107,108,2,teamred | det100,1829
108,109,0,teamred | random,1829
109,110,0,teamred | newgate | stew,1830
110,111,0,teamred | locdetmyst | stew,1832
111,112,0,teamblack | random,1832
112,113,0,teamred | random,1832
113,114,0,teamblack | random,1832
114,115,0,teamred | random,1832
115,116,0,teamblack | pbgothic | lavin_magic,1832
116,117,0,teamred | newgate,1832
117,118,0,teamred | locdetmyst | stew,1832
118,119,0,teamred | random,1832
119,120,0,teamred | locdetmyst | stew,1832
120,121,0,teamblack | pbgothic,1833
121,122,0,teamred | random,1833
122,123,9,lockandkey | teamblack,1834
123,124,0,teamblack | random,1834
124,125,0,teamred | newgate | stangothic | lavin_ghost | lavin_magic,1834
125,126,8,teamblack | locscifi,1836
126,127,8,newgate | teamblack | stew,1837
127,128,0,teamblack | pbgothic | lavin_ghost,1837
128,129,2,teamblack | random,1837
129,130,8,teamred | pbgothic | stew,1838
130,131,0,teamblack | random,1838
131,132,7,teamblack | anatscifi | drop,1838
132,133,0,teamred | random,1838
133,134,2,teamred | random,1840
134,135,0,teamred | pbgothic | stew,1840
135,136,2,newgate | teamblack,1840
136,137,8,teamblack | pbgothic | stew,1841
137,138,7,det100 | teamblack,1841
138,139,0,teamblack | random,1841
139,140,7,teamred | det100 | stew,1842
140,141,7,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,1843
141,142,0,teamblack | random,1843
142,143,2,teamblack | random,1843
143,144,0,teamred | pbgothic | stew,1844
144,145,8,teamblack | random,1844
145,146,7,teamred | det100,1845
146,147,7,det100 | teamblack | drop,1845
147,148,2,teamred | random,1846
148,149,0,teamred | pbgothic | stew,1846
149,150,0,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,1846
150,151,8,teamred | pbgothic | lavin_deranged,1847
151,152,8,teamred | pbgothic | stew | lavin_deranged,1847
152,153,0,teamred | random,1847
153,154,2,teamred | random,1847
154,155,2,teamblack | random,1847
155,156,8,teamred | pbgothic | stew | lavin_deranged,1847
156,157,0,teamred | locghost | stew | lavin_ghost,1848
157,158,2,teamblack | random,1848
158,159,8,teamblack | random,1849
159,160,0,teamblack | pbgothic | lavin_magic,1849
160,161,0,teamblack | pbgothic,1850
161,162,0,teamred | pbgothic | stew,1850
162,163,2,teamblack | random,1850
163,164,0,teamblack | random,1850
164,165,0,teamred | random,1851
165,166,0,teamblack | pbgothic,1851
166,167,0,teamred | random,1853
167,168,2,teamblack | pbgothic,1853
168,169,2,teamblack | random,1853
169,170,8,teamred | det100,1853
170,171,2,teamred | random,1858
171,172,0,teamblack | pbgothic,1858
172,173,2,teamblack | random,1858
173,174,0,teamblack | pbgothic | stew | lavin_magic,1858
174,175,3,det100 | teamblack,1859
175,176,8,teamblack | locdetmyst,1859
176,177,2,teamred | random,1859
177,178,8,teamred | random,1859
178,179,8,teamred | sensation | pbgothic | stew | lavin_deranged,1860
179,180,2,teamred | random,1860
180,181,8,sensation | teamblack | stew,1861
181,182,2,teamred | sensation | stew,1862
182,183,2,teamred | random,1863
183,184,2,teamred | sensation | stew,1863
184,185,3,teamred | blcrime,1863
185,186,2,sensation | teamblack | stew,1863
186,187,2,sensation | teamblack | stew,1863
187,188,2,sensation | pbgothic | teamblack | stew,1864
188,189,2,teamred | sensation | pbgothic | stew,1864
189,190,2,teamred | sensation | pbgothic | stew,1864
190,191,8,teamred | locdetective | stew,1865
191,192,7,teamred | anatscifi | stew,1865
192,193,8,teamblack | pbgothic,1865
193,194,0,teamred | sensation | stew,1865
194,195,2,teamred | random,1865
195,196,2,teamred | det100,1866
196,197,8,teamred | sensation | pbgothic | stew,1866
197,198,2,teamblack | random,1866
198,199,9,teamred | lockandkey,1866
199,200,8,teamblack | random,1867
200,201,2,det100 | teamblack,1867
201,202,2,teamred | sensation | stew,1867
202,203,0,teamblack | random,1867
203,204,2,det100 | teamblack,1867
204,205,2,teamblack | random,1868
205,206,2,teamred | random,1868
206,207,8,teamred | det100 | pbgothic | lavin_deranged,1868
207,208,0,teamblack | random,1868
208,209,7,teamblack | anatscifi | stew,1868
209,210,8,det100 | teamblack | stew,1868
210,211,2,teamred | anatscifi,1870
211,212,2,teamblack | random,1871
212,213,9,teamred | lockandkey | stew,1871
213,214,8,teamred | locdetective,1871
214,215,8,teamred | det100,1871
215,216,2,teamblack | random,1871
216,217,2,sensation | teamblack | stew,1871
217,218,7,teamblack | anatscifi,1871
218,219,2,teamblack | pbgothic | stew | lavin_ghost | lavin_magic | lavin_deranged,1872
219,220,4,teamblack | anatscifi | stew,1872
220,221,2,teamred | random,1874
221,222,2,teamred | locdetective,1874
222,223,2,teamred | locdetective,1874
223,224,2,teamblack | random,1874
224,225,4,teamred | locdetective | drop,1875
225,226,2,teamred | det100,1875
226,227,2,teamred | random,1875
227,228,8,teamblack | random,1875
228,229,2,teamblack | locdetmyst,1875
229,230,2,teamblack | random,1875
230,231,2,teamblack | locdetmyst | stew,1875
231,232,8,det100 | teamblack | stew,1876
232,233,8,locdetective | teamblack,1876
233,234,2,teamred | random,1876
234,235,2,teamred | random,1876
235,236,3,lockandkey | teamblack,1877
236,237,7,teamred | femscifi | stew,1877
237,238,4,teamblack | locdetective | drop,1878
238,239,2,teamred | random,1878
239,240,0,teamred | pbgothic | stew | lavin_ghost,1878
240,241,8,teamred | det100,1878
241,242,2,teamblack | random,1879
242,243,8,teamred | locdetective,1879
243,244,4,teamred | locdetective | drop,1880
244,245,2,sensation | teamblack | stew,1880
245,246,2,teamblack | random,1880
246,247,7,teamblack | anatscifi | locscifi,1880
247,248,7,teamblack | anatscifi | locscifi,1880
248,249,3,lockandkey | teamblack,1880
249,250,7,teamred | anatscifi,1880
250,251,7,teamblack | locscifi,1880
251,252,8,teamred | det100,1880
252,253,8,teamred | locdetective | stew,1881
253,254,4,teamblack | locdetective | drop,1881
254,255,2,teamblack | random,1881
255,256,2,teamred | pbgothic | stew,1882
256,257,2,det100 | teamblack,1883
257,258,2,teamred | random,1883
258,259,1,teamred | lockandkey | stew,1884
259,260,0,teamred | pbgothic | lavin_magic,1885
260,261,7,teamred | random,1885
261,262,2,det100 | teamblack,1885
262,263,2,teamred | random,1886
263,264,2,teamred | det100,1886
264,265,4,teamblack | locdetective | drop,1886
265,266,0,teamred | femscifi | locscifi,1886
266,267,7,teamred | anatscifi | locscifi,1886
267,268,8,teamred | pbgothic | anatscifi | stew,1886
268,269,2,teamred | random,1887
269,270,2,teamblack | locghost | lavin_ghost,1887
270,271,7,teamred | anatscifi,1887
271,272,2,det100 | teamblack,1887
272,273,8,teamblack | random,1887
273,274,2,teamblack | locdetmyst,1888
274,275,7,teamblack | anatscifi | locscifi,1888
275,276,2,teamred | locghost | lavin_ghost,1888
276,277,2,teamred | pbgothic | lavin_ghost,1888
277,278,2,teamblack | anatscifi | stew,1888
278,279,8,teamred | det100,1888
279,280,0,teamblack | locghost | stew | lavin_ghost,1888
280,281,0,teamred | locghost | stew | lavin_ghost,1888
281,282,2,teamblack | random,1888
282,283,8,teamred | det100 | stew,1888
283,284,2,teamblack | pbgothic | stew,1888
284,285,2,teamred | locdetmyst,1888
285,286,7,teamred | anatscifi | locscifi | stew,1888
286,287,2,teamblack | random,1888
287,288,2,teamblack | locdetmyst | stew,1888
288,289,2,teamred | supernatural | random,1888
289,290,0,teamblack | locghost | stew | lavin_ghost,1888
290,291,7,teamblack | locghost | lavin_ghost,1888
291,292,7,teamred | anatscifi,1889
292,293,2,teamblack | anatscifi | stew,1889
293,294,2,teamred | pbgothic | stew | lavin_ghost,1890
294,295,2,teamblack | locghost | lavin_ghost,1890
295,296,2,teamred | random,1890
296,297,2,teamblack | locghost | stew | lavin_ghost,1890
297,298,7,teamred | anatscifi,1890
298,299,0,teamblack | pbgothic | lavin_magic | lavin_deranged,1891
299,300,2,teamblack | locscifi | stew,1891
300,301,2,teamblack | pbgothic | stew,1891
301,302,2,teamblack | locdetmyst | stew,1891
302,303,0,teamblack | random,1892
303,304,8,teamred | det100,1892
304,305,0,teamblack | locscifi,1892
305,306,2,teamred | det100 | stew,1892
306,307,2,teamred | random,1892
307,308,2,teamblack | pbgothic | stew,1892
308,309,7,teamblack | anatscifi,1893
309,310,7,teamblack | anatscifi,1893
310,311,7,teamblack | anatscifi,1893
311,312,2,teamblack | pbgothic | lavin_ghost,1893
312,313,8,det100 | teamblack,1894
313,314,2,teamblack | random,1894
314,315,2,det100 | teamblack,1894
315,316,0,teamblack | anatscifi | stew,1894
316,317,2,teamblack | random,1894
317,318,2,teamblack | random,1894
318,319,2,teamblack | locdetmyst,1894
319,320,2,teamred | pbgothic | lavin_magic,1895
320,321,2,teamred | locscifi | stew,1895
321,322,2,teamred | anatscifi | locscifi | stew,1895
322,323,2,teamred | det100,1896
323,324,2,teamred | random,1896
324,325,3,teamred | lockandkey,1896
325,326,2,teamblack | random,1897
326,327,6,teamblack | pbgothic | stew | lavin_magic,1897
327,328,8,teamred | det100 | stew,1897
328,329,0,teamred | femscifi,1897
329,330,8,teamred | locdetmyst,1898
330,331,2,teamred | locghost | stew | lavin_ghost,1898
331,332,2,teamblack | locghost | lavin_ghost,1898
332,333,2,teamblack | random,1898
333,334,2,teamred | pbgothic | lavin_ghost | lavin_magic,1898
334,335,7,teamblack | anatscifi,1898
335,336,2,teamred | random,1898
336,337,8,teamred | random,1899
337,338,8,det100 | teamblack,1899
338,339,2,teamred | det100,1899
339,340,2,teamred | locscifi,1899
340,341,2,teamblack | random,1900
341,342,4,teamblack | locdetective | drop,1900
342,343,2,teamblack | locdetmyst | stew,1900
343,344,4,teamblack | locdetective | drop,1900
344,345,4,teamblack | locdetective | drop,1900
345,346,7,teamred | locscifi | stew,1900
346,347,1,teamblack | anatscifi | locscifi,1901
347,348,4,teamred | femscifi,1901
348,349,1,chifantasy | teamblack | chiscifi,1901
349,350,2,teamred | locscifi,1902
350,351,2,teamblack | locdetmyst,1903
351,352,3,teamred | random,1903
352,353,2,teamblack | pbgothic | lavin_ghost,1903
353,354,1,teamred | lockandkey | stew,1903
354,355,2,teamblack | random,1903
355,356,7,teamred | locscifi,1904
356,357,8,det100 | teamblack,1904
357,358,2,teamblack | anatscifi | locscifi,1904
358,359,2,teamred | locdetmyst | juvenile | drop,1904
359,360,2,teamred | locghost | stew | lavin_ghost,1904
360,361,7,teamred | random,1904
361,362,2,teamblack | anatscifi | stew,1905
362,363,2,teamblack | random,1905
363,364,2,teamred | locghost | lavin_ghost,1905
364,365,2,det100 | teamblack | stew,1905
365,366,9,teamblack | pbgothic | stew,1905
366,367,2,teamblack | locscifi | stew,1906
367,368,2,teamblack | pbgothic | stew | lavin_ghost,1906
368,369,2,teamred | det100 | stew,1906
369,370,2,teamred | locghost | stew | lavin_ghost,1906
370,371,2,teamblack | random,1906
371,372,8,teamred | det100 | stew,1907
372,373,1,det100 | teamblack,1907
373,374,2,teamred | locdetmyst | juvenile | drop,1907
374,375,2,teamred | random,1907
375,376,2,teamred | random,1907
376,377,2,teamred | random,1908
377,378,8,det100 | teamblack | stew,1908
378,379,2,teamblack | locscifi,1908
379,380,2,teamred | det100 | locdetmyst,1908
380,381,0,teamred | random,1908
381,382,2,teamblack | random,1909
382,383,8,teamred | det100 | stew,1909
383,384,2,det100 | teamblack | stew,1909
384,385,2,teamblack | anatscifi | locscifi,1909
385,386,3,det100 | teamblack,1909
386,387,2,teamblack | random,1909
387,388,2,det100 | teamblack,1909
388,389,2,teamblack | random,1909
389,390,2,teamblack | random,1910
390,391,2,teamred | pbgothic | lavin_ghost,1910
391,392,2,teamred | det100,1910
392,393,2,teamblack | random,1910
393,394,2,det100 | teamblack,1910
394,395,8,teamred | det100,1910
395,396,2,teamred | random,1910
396,397,2,teamblack | random,1911
397,398,2,teamred | det100 | stew,1911
398,399,8,det100 | teamblack,1911
399,400,2,teamblack | random,1911
400,401,2,teamred | random,1911
401,402,2,teamred | det100 | locdetmyst,1911
402,403,2,teamred | random,1911
403,404,2,teamred | pbgothic | stew | lavin_ghost,1911
404,405,8,teamblack | locdetmyst | juvenile | drop,1911
405,406,7,teamred | anatscifi,1912
406,407,8,det100 | teamblack,1912
407,408,2,teamred | locdetective | stew,1912
408,409,2,teamblack | random,1912
409,410,7,teamred | anatscifi | stew,1912
410,411,2,teamblack | anatscifi | stew,1912
411,412,2,teamblack | locghost | lavin_ghost,1912
412,413,8,teamblack | random,1913
413,414,2,teamblack | random,1913
414,415,2,teamblack | locdetmyst | stew,1913
415,416,2,det100 | teamblack,1913
416,417,4,teamred | locdetmyst | juvenile | drop,1913
417,418,2,teamred | anatscifi,1913
418,419,2,teamred | random,1913
419,420,2,teamred | locghost | lavin_ghost,1913
420,421,8,det100 | teamblack,1913
421,422,0,teamred | random,1913
422,423,2,teamblack | locdetmyst | juvenile | drop,1913
423,424,8,teamred | det100,1913
424,425,4,teamblack | locdetmyst | juvenile | drop,1913
425,426,2,teamred | det100,1913
426,427,2,teamblack | random,1913
427,428,2,teamred | random,1914
428,429,8,teamblack | random,1914
429,430,8,teamred | det100,1914
430,431,2,teamblack | random,1914
431,432,8,det100 | teamblack,1914
432,433,2,teamred | locghost | lavin_ghost,1914
433,434,2,det100 | teamblack,1914
434,435,8,teamred | det100 | stew,1915
435,436,2,teamred | random,1915
436,437,0,teamred | random,1915
437,438,2,teamred | random,1915
438,439,2,teamblack | locdetmyst | juvenile | drop,1915
439,440,4,teamblack | locdetmyst | juvenile | drop,1915
440,441,8,teamblack | locdetmyst | juvenile | drop,1915
441,442,4,teamred | locdetmyst | juvenile | drop,1916
442,443,2,teamred | det100,1916
443,444,2,teamred | random,1916
444,445,2,teamblack | random,1916
445,446,2,det100 | teamblack | stew,1916
446,447,2,teamred | locdetmyst,1917
447,448,2,teamred | random,1917
448,449,2,teamred | random,1917
449,450,4,teamblack | locdetmyst | juvenile | drop,1917
450,451,2,teamblack | locdetmyst | juvenile | drop,1917
451,452,4,teamblack | locdetmyst | juvenile | drop,1917
452,453,2,det100 | teamblack | stew,1918
453,454,2,teamblack | locdetmyst | juvenile | drop,1918
454,455,2,teamblack | locghost | stew | lavin_ghost,1918
455,456,2,teamred | random,1918
456,457,0,teamred | random,1918
457,458,4,teamblack | locdetmyst | juvenile | drop,1918
458,459,8,det100 | teamblack,1918
459,460,2,teamred | random,1918
460,461,8,teamred | det100,1919
461,462,8,teamred | pbgothic | lavin_ghost,1919
462,463,4,teamblack | locdetmyst | juvenile | drop,1919
463,464,2,teamblack | locghost | stew | lavin_ghost,1919
464,465,2,teamred | random,1919
465,466,4,teamblack | locdetmyst | juvenile | drop,1919
466,467,2,teamred | pbgothic,1919
467,468,2,teamblack | locdetmyst | juvenile | drop,1920
468,469,8,teamblack | random,1920
469,470,2,teamred | random,1920
470,471,9,teamred | chifantasy | anatscifi | stew,1920
471,472,3,chirandom | teamred,1920
472,473,4,teamred | locdetmyst | juvenile | drop,1920
473,474,5,chirandom | teamred,1920
474,475,2,teamred | locghost | stew | lavin_ghost,1920
475,476,3,chifantasy | teamblack,1920
476,477,3,chiutopia | teamblack,1920
477,478,3,chirandom | teamred,1920
478,479,2,det100 | teamblack,1920
479,480,2,teamblack | anatscifi | stew,1920
480,481,2,det100 | teamblack | cozy,1920
481,482,2,teamred | random,1920
482,483,3,chirandom | teamblack,1920
483,484,2,teamred | random,1921
484,485,1,chirandom | teamred,1921
485,486,3,chirandom | chifantasy | teamblack,1921
486,487,2,teamred | locdetmyst | juvenile | drop,1921
487,488,3,teamblack | chiscifi,1921
488,489,3,chirandom | teamred,1921
489,490,2,teamred | locghost | stew | lavin_ghost,1921
490,491,2,teamred | locghost | lavin_ghost,1921
491,492,2,teamred | random,1921
492,493,6,chirandom | teamred,1921
493,494,3,teamred | chifantasy,1921
494,495,1,chirandom | teamred,1921
495,496,2,teamred | random,1922
496,497,2,teamred | femscifi | anatscifi,1922
497,498,2,chirandom | teamred,1922
498,499,0,teamblack | locghost | stew | lavin_ghost,1922
499,500,6,chirandom | teamred,1922
500,501,2,teamblack | locdetmyst | locghost | stew | lavin_ghost,1922
501,502,2,teamred | random,1922
502,503,0,teamred | random,1922
503,504,8,teamred | locdetmyst,1922
504,505,2,teamred | det100,1922
505,506,6,chirandom | teamblack,1922
506,507,3,chirandom | teamred | juvenile | drop,1922
507,508,9,teamblack | chiscifi | stew,1922
508,509,2,teamred | random,1922
509,510,3,chirandom | teamred,1922
510,511,5,chirandom | teamred,1922
511,512,2,teamblack | random,1922
512,513,2,teamred | locdetmyst | juvenile | drop,1922
513,514,4,teamblack | locdetmyst | juvenile | drop,1922
514,515,9,chirandom | teamblack,1922
515,516,8,teamblack | locdetmyst | locghost | lavin_ghost,1922
516,517,2,teamblack | locdetmyst | locghost | lavin_ghost,1922
517,518,2,teamblack | locdetmyst | locghost | lavin_ghost,1922
518,519,3,teamred | chimyst,1923
519,520,3,det100 | teamblack,1923
520,521,3,teamred | chimyst,1923
521,522,9,teamred | chiscifi | stew,1923
522,523,8,teamred | chiscifi | stew,1923
523,524,3,chirandom | teamblack,1924
524,525,1,teamblack | chimyst,1924
525,526,1,teamblack | chimyst,1924
526,527,3,teamblack | chiscifi | stew,1925
527,528,1,chirandom | teamred,1925
528,529,1,chirandom | det100 | teamblack | stew,1925
529,530,6,teamred | chimyst,1925
530,531,3,chirandom | det100 | teamblack,1925
531,532,3,teamred | chifantasy,1926
532,533,8,chirandom | teamblack | chimyst,1926
533,534,6,teamred | det100,1926
534,535,6,teamred | det100 | chimyst,1926
535,536,3,chifantasy | teamblack,1927
536,537,1,chirandom | chifantasy | teamblack,1927
537,538,3,chirandom | teamblack,1927
538,539,5,chirandom | teamblack,1927
539,540,3,teamred | chimyst,1927
540,541,2,chirandom | teamred | chimyst,1927
541,542,3,teamblack | pbgothic | lavin_magic,1927
542,543,3,teamblack | chimyst,1928
543,544,3,teamblack | chiscifi,1928
544,545,9,teamblack | chiscifi,1928
545,546,1,teamred | chimyst,1928
546,547,1,chirandom | teamred | det100,1928
547,548,7,teamred | chifantasy | chiscifi,1928
548,549,6,teamblack | chimyst | stew,1928
549,550,9,teamred | chiscifi | stew,1929
550,551,6,chirandom | teamblack,1929
551,552,9,teamblack | chiscifi | stew,1929
552,553,6,hardboiled | det100 | teamblack | chimyst,1929
553,554,5,teamred | chimyst | cozy,1929
554,555,3,teamblack | chimyst,1929
555,556,9,teamred | chiscifi | stew,1929
556,557,3,teamred | chimyst,1929
557,558,6,chirandom | teamblack | chimyst | stew,1929
558,559,1,teamblack | chimyst,1930
559,560,1,chirandom | teamblack,1930
560,561,1,teamblack | chimyst | cozy,1930
561,562,3,chifantasy | teamblack,1930
562,563,5,chirandom | teamblack,1930
563,564,9,teamred | chifantasy | chiscifi,1930
564,565,3,teamred | chiscifi | stew,1930
565,566,7,teamred | chiscifi | stew,1930
566,567,3,teamred | chimyst | stew,1930
567,568,6,hardboiled | det100 | teamblack | chimyst,1930
568,569,9,teamblack | chiscifi,1930
569,570,3,chirandom | teamblack,1931
570,571,8,chifantasy | teamblack | chiscifi,1931
571,572,3,teamblack | chiscifi,1931
572,573,6,det100 | teamblack,1931
573,574,1,teamred | det100 | chimyst,1931
574,575,5,chirandom | teamred,1931
575,576,9,chifantasy | teamblack | chiscifi,1931
576,577,1,teamblack | chiscifi,1931
577,578,9,teamred | chiscifi,1931
