,0,1,2,3,4,5,6
20,36289,"ormond; or, the secret wi","Brown, Charles Brockden",96,18,ormond; or the secret wit,Charles Brockden BROWN
21,36291,"ormond; or, the secret wi","Brown, Charles Brockden",96,18,ormond; or the secret wit,Charles Brockden BROWN
22,36290,"ormond; or, the secret wi","Brown, Charles Brockden",96,18,ormond; or the secret wit,Charles Brockden BROWN
27,18508,"arthur mervyn; or, memoir","Brown, Charles Brockden",58,235,Arthur Mervyn,Charles Brockden BROWN
31,8223,"edgar huntly; or, memoirs","Brown, Charles Brockden",54,236,Edgar Huntly,Charles Brockden BROWN
35,8404,Jane Talbot,"Brown, Charles Brockden",100,310,Jane Talbot,Charles Brockden BROWN
59,7757,"Falkland, Book 1.","Lytton, Edward Bulwer Lytton, Baron",64,2044,Falkland,Edward George BULWER LYTTON
65,7630,Devereux — Complete,"Lytton, Edward Bulwer Lytton, Baron",59,2211,Devereux,Edward George BULWER LYTTON
71,7639,The Disowned — Complete,"Lytton, Edward Bulwer Lytton, Baron",56,2212,"Disowned, The",Edward George BULWER LYTTON
80,21943,Peter Schlemihl,"Chamisso, Adelbert von",100,1694,Peter Schlemihl,Adelbert von CHAMISSO
81,5339,Peter Schlemihl,"Chamisso, Adelbert von",100,1694,Peter Schlemihl,Adelbert von CHAMISSO
90,940,the last of the mohicans;,"Cooper, James Fenimore",72,1973,"Last of the Mohicans, The",James Fenimore COOPER
91,27681,the last of the mohicans:,"Cooper, James Fenimore",72,1973,"Last of the Mohicans, The",James Fenimore COOPER
125,9840,Vivian Grey,"Disraeli, Benjamin, Earl of Beaconsfield",100,1978,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI"
130,7816,the voyage of captain pop,"Disraeli, Benjamin, Earl of Beaconsfield",84,2145,voyage of captain popanil,"Benjamin, Earl of Beaconsfield DISRAELI"
137,20008,The Young Duke,"Disraeli, Benjamin, Earl of Beaconsfield",36,2404,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
150,18752,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
151,3714,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
152,2825,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
155,2824,sintram and his companion,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100,1468,sintram and his companion,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
168,48032,the magic ring and other ,,55,1887,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
186,1310,the annals of the parish:,"Galt, John",80,1549,Annals of the Parish,John GALT
190,1384,the ayrshire legatees; or,"Galt, John",68,1550,"Ayrshire Legatees, The",John GALT
195,1296,The Provost,"Galt, John",61,1621,"Provost, The",John GALT
220,30749,"ringan gilhaize, or, the ","Galt, John",65,1703,Ringan Gilhaize,John GALT
265,1958,Hermann and Dorothea,"Goethe, Johann Wolfgang von",97,404,Herman and Dorothea,Johann Wolfgang von GOETHE
266,2312,Hermann und Dorothea,"Goethe, Johann Wolfgang von",92,404,Herman and Dorothea,Johann Wolfgang von GOETHE
270,36483,wilhelm meister's apprent,"Goethe, Johann Wolfgang von",100,1799,wilhelm meister's apprent,Johann Wolfgang von GOETHE
286,37005,"the devil's elixir, vol. ","Hoffmann, E. T. A. (Ernst Theodor Amadeus)",64,1806,"Devil's Elixir, The",Ernst Theodor Amadeus HOFFMANN
287,36494,"the devil's elixir, vol. ","Hoffmann, E. T. A. (Ernst Theodor Amadeus)",64,1806,"Devil's Elixir, The",Ernst Theodor Amadeus HOFFMANN
290,40955,"the brownie of bodsbeck, ","Hogg, James",78,1347,"Brownie of Bodsbeck, The",James HOGG
291,41796,"the brownie of bodsbeck, ","Hogg, James",78,1347,"Brownie of Bodsbeck, The",James HOGG
301,39959,the three perils of man; ,"Hogg, James",69,1634,"Three Perils of Man, The",James HOGG
302,39872,the three perils of man; ,"Hogg, James",69,1634,"Three Perils of Man, The",James HOGG
303,39776,the three perils of man; ,"Hogg, James",69,1634,"Three Perils of Man, The",James HOGG
310,2276,the private memoirs and c,"Hogg, James",84,1809,private memoirs and confe,James HOGG
325,14228,Bracebridge Hall,"Irving, Washington",100,1636,Bracebridge Hall,Washington IRVING
330,13514,Tales of a Traveller,"Irving, Washington",100,1814,Tales of a Traveller,Washington IRVING
335,44252,richelieu: a tale of fran,"James, G. P. R. (George Payne Rainsford)",96,2239,"richelieu, a tale of fran",George Payne Rainsford JAMES
336,44253,richelieu: a tale of fran,"James, G. P. R. (George Payne Rainsford)",96,2239,"richelieu, a tale of fran",George Payne Rainsford JAMES
337,44254,richelieu: a tale of fran,"James, G. P. R. (George Payne Rainsford)",96,2239,"richelieu, a tale of fran",George Payne Rainsford JAMES
385,12959,Newton Forster,"Marryat, Frederick",100,2510,Newton Forster,"MARRYAT, Frederick"
420,20767,the life of mansie wauch:,"Moir, D. M. (David Macbeth)",68,2163,"Life of Mansie Wauch, The",David Macbeth MOIR
421,23739,the life of mansie wauch:,"Moir, D. M. (David Macbeth)",68,2163,"Life of Mansie Wauch, The",David Macbeth MOIR
430,6087,The Vampyre; a Tale,"Polidori, John William",65,1427,"Vampyre, The",John William POLIDORI
445,45697,Waverley,"Scott, Walter",100,1134,Waverley,Sir Walter SCOTT
450,2590,Guy Mannering,"Scott, Walter",100,1187,Guy Mannering,Sir Walter SCOTT
455,7005,The Antiquary — Complete,"Scott, Walter",58,1248,"Antiquary, The",Sir Walter SCOTT
465,16828,Rob-Roy,"Scott, Walter",86,1365,Rob Roy,Sir Walter SCOTT
481,6407,The Abbot,"Scott, Walter",53,1506,"Abbot, The",Sir Walter SCOTT
485,43215,Ivanhoe,"Scott, Walter",100,1507,Ivanhoe,Sir Walter SCOTT
486,26564,Ivanhoe,"Scott, Walter",100,1507,Ivanhoe,Sir Walter SCOTT
488,82,Ivanhoe: A Romance,"Scott, Walter",56,1507,Ivanhoe,Sir Walter SCOTT
490,6406,The Monastery,"Scott, Walter",67,1508,"Monastery, The",Sir Walter SCOTT
495,1606,Kenilworth,"Scott, Walter",100,1578,Kenilworth,Sir Walter SCOTT
500,5950,The Fortunes of Nigel,"Scott, Walter",79,1655,"Fortunes of Nigel, The",Sir Walter SCOTT
505,5959,Peveril of the Peak,"Scott, Walter",100,1656,Peveril of the Peak,Sir Walter SCOTT
515,7853,Quentin Durward,"Scott, Walter",100,1746,Quentin Durward,Sir Walter SCOTT
516,18825,Quentin Durward,"Scott, Walter",100,1746,Quentin Durward,Sir Walter SCOTT
517,13975,Qventin Durward,"Scott, Walter",93,1746,Quentin Durward,Sir Walter SCOTT
525,20749,St. Ronan's Well,"Scott, Walter",97,1843,St Ronan's Well,Sir Walter SCOTT
540,1828,chronicles of the canonga,"Scott, Walter",100,2088,chronicles of the canonga,Sir Walter SCOTT
550,43678,"anne of geierstein, volum","Scott, Walter",74,2264,Anne of Geierstein,Sir Walter SCOTT
551,44247,anne of geierstein: (volu,"Scott, Walter",74,2264,Anne of Geierstein,Sir Walter SCOTT
710,11409,The Red Rover: A Tale,"Cooper, James Fenimore",69,2052,"Red Rover, The",James Fenimore COOPER
845,21331,the adventures of hajji b,"Morier, James Justinian",84,1830,"adventures of hajji baba,",James Justinian MORIER
850,21331,the adventures of hajji b,"Morier, James Justinian",84,2165,"adventures of hajji baba,",James Justinian MORIER
895,9909,Nightmare Abbey,"Peacock, Thomas Love",100,1358,Nightmare Abbey,Thomas Love PEACOCK
1115,49332,The Epicurean,"Moore, Thomas",67,2080,"Epicurean, The",Thomas MOORE
1170,14275,The Necromancers,"Benson, Robert Hugh",69,1403,"Necromancer, The",
