,0,1,2,3,4,5,6
26,32568,A Frontier Mystery,"Mitford, Bertram",58.0,235,Arthur Mervyn,Charles Brockden BROWN
27,18508,"arthur mervyn; or, memoir","Brown, Charles Brockden",58.0,235,Arthur Mervyn,Charles Brockden BROWN
28,21663,Aunt Mary,"Perring, Mrs.",55.0,235,Arthur Mervyn,Charles Brockden BROWN
29,29766,Audrey Craven,"Sinclair, May",54.0,235,Arthur Mervyn,Charles Brockden BROWN
30,19090,Star Hunter,"Norton, Andre",61.0,236,Edgar Huntly,Charles Brockden BROWN
31,8223,"edgar huntly; or, memoirs","Brown, Charles Brockden",54.0,236,Edgar Huntly,Charles Brockden BROWN
32,36347,Holman Hunt,"Coleridge, Mary E. (Mary Elizabeth)",52.0,236,Edgar Huntly,Charles Brockden BROWN
33,25127,The Tiger Hunter,"Reid, Mayne",50.0,236,Edgar Huntly,Charles Brockden BROWN
34,26855,Hard Guy,"Browne, Howard",50.0,236,Edgar Huntly,Charles Brockden BROWN
35,8404,Jane Talbot,"Brown, Charles Brockden",100.0,310,Jane Talbot,Charles Brockden BROWN
36,5971,Jane Cable,"McCutcheon, George Barr",67.0,310,Jane Talbot,Charles Brockden BROWN
37,26131,James Watt,"Carnegie, Andrew",57.0,310,Jane Talbot,Charles Brockden BROWN
38,51616,Sales Talk,"Blomberg, Con",57.0,310,Jane Talbot,Charles Brockden BROWN
39,32312,Janice Day,"Long, Helen Beecher",57.0,310,Jane Talbot,Charles Brockden BROWN
40,35365,Philip Massinger,"Cruickshank, Alfred Hamilton",67.0,530,Philip Stanley,Charles Brockden BROWN
41,43169,Philippa,"Molesworth, Mrs.",64.0,530,Philip Stanley,Charles Brockden BROWN
42,6060,Philistia,"Allen, Grant",61.0,530,Philip Stanley,Charles Brockden BROWN
43,50261,Philip II. of Spain,"Hume, Martin A. S. (Martin Andrew Sharp)",61.0,530,Philip Stanley,Charles Brockden BROWN
44,23455,Plain Jane,"George, G. M.",58.0,530,Philip Stanley,Charles Brockden BROWN
45,22590,Wind,"Fontenay, Charles L.",73.0,894,Wieland,Charles Brockden BROWN
46,32,Herland,"Gilman, Charlotte Perkins",71.0,894,Wieland,Charles Brockden BROWN
47,39651,Switzerland,"Fox, Frank",67.0,894,Wieland,Charles Brockden BROWN
48,13041,Vildanden,"Ibsen, Henrik",63.0,894,Wieland,Charles Brockden BROWN
49,16348,Dreamland,"Lippmann, Julie Mathilde",63.0,894,Wieland,Charles Brockden BROWN
50,21384,Afar in the Forest,"Kingston, William Henry Giles",62.0,1610,"Carwin, the Biloquist",Charles Brockden BROWN
51,22601,hiawatha and the iroquois,"Hale, Horatio",61.0,1610,"Carwin, the Biloquist",Charles Brockden BROWN
52,22096,stories the iroquois tell,"Powers, Mabel",61.0,1610,"Carwin, the Biloquist",Charles Brockden BROWN
53,37102,"Cedric, the Forester","Marshall, Bernard Gay",59.0,1610,"Carwin, the Biloquist",Charles Brockden BROWN
54,23989,Caleb in the Country,"Abbott, Jacob",59.0,1610,"Carwin, the Biloquist",Charles Brockden BROWN
55,2732,Ballads,"Thackeray, William Makepeace",67.0,2044,Falkland,Edward George BULWER LYTTON
56,9342,Falk,"Conrad, Joseph",67.0,2044,Falkland,Edward George BULWER LYTTON
57,413,Ballads,"Stevenson, Robert Louis",67.0,2044,Falkland,Edward George BULWER LYTTON
58,10559,Ballads,"Stevenson, Robert Louis",67.0,2044,Falkland,Edward George BULWER LYTTON
59,7757,"Falkland, Book 1.","Lytton, Edward Bulwer Lytton, Baron",64.0,2044,Falkland,Edward George BULWER LYTTON
60,13754,Evesham,"New, E. H. (Edmund Hort)",62.0,2128,Pelham,Edward George BULWER LYTTON
61,49110,Pelaaja,Various,62.0,2128,Pelham,Edward George BULWER LYTTON
62,32344,Pet Farm,"Aycock, Roger D.",57.0,2128,Pelham,Edward George BULWER LYTTON
63,38192,Alhambra,"Irving, Washington",57.0,2128,Pelham,Edward George BULWER LYTTON
64,49947,The Alhambra,"Irving, Washington",56.0,2128,Pelham,Edward George BULWER LYTTON
65,7630,Devereux — Complete,"Lytton, Edward Bulwer Lytton, Baron",59.0,2211,Devereux,Edward George BULWER LYTTON
66,34240,Nevermore,"Boldrewood, Rolf",59.0,2211,Devereux,Edward George BULWER LYTTON
67,7626,Devereux — Volume 03,"Lytton, Edward Bulwer Lytton, Baron",57.0,2211,Devereux,Edward George BULWER LYTTON
68,7625,Devereux — Volume 02,"Lytton, Edward Bulwer Lytton, Baron",57.0,2211,Devereux,Edward George BULWER LYTTON
69,7629,Devereux — Volume 06,"Lytton, Edward Bulwer Lytton, Baron",57.0,2211,Devereux,Edward George BULWER LYTTON
70,29384,Disowned,"Endersby, Victor A.",76.0,2212,"Disowned, The",Edward George BULWER LYTTON
71,7639,The Disowned — Complete,"Lytton, Edward Bulwer Lytton, Baron",56.0,2212,"Disowned, The",Edward George BULWER LYTTON
72,29069,Poisoned Air,"Meek, S. P. (Sterner St. Paul)",56.0,2212,"Disowned, The",Edward George BULWER LYTTON
73,1923,The Poisoned Pen,"Reeve, Arthur B. (Arthur Benjamin)",55.0,2212,"Disowned, The",Edward George BULWER LYTTON
74,5007,The Poisoned Pen,"Reeve, Arthur B. (Arthur Benjamin)",55.0,2212,"Disowned, The",Edward George BULWER LYTTON
75,999999,Piccole anime,,0.0,2550,,"[BULWER LYTTON, Edward George]"
76,17260,Tempest and Sunshine,"Holmes, Mary Jane",0.0,2550,,"[BULWER LYTTON, Edward George]"
77,17270,the interlude of wealth a,Anonymous,0.0,2550,,"[BULWER LYTTON, Edward George]"
78,17269,weather and folk lore of ,"Dack, Charles",0.0,2550,,"[BULWER LYTTON, Edward George]"
79,17268,ontario teachers' manuals,Ontario. Ministry of Education,0.0,2550,,"[BULWER LYTTON, Edward George]"
80,21943,Peter Schlemihl,"Chamisso, Adelbert von",100.0,1694,Peter Schlemihl,Adelbert von CHAMISSO
81,5339,Peter Schlemihl,"Chamisso, Adelbert von",100.0,1694,Peter Schlemihl,Adelbert von CHAMISSO
82,21577,Peter Simple,"Marryat, Frederick",67.0,1694,Peter Schlemihl,Adelbert von CHAMISSO
83,21474,Peter the Whaler,"Kingston, William Henry Giles",65.0,1694,Peter Schlemihl,Adelbert von CHAMISSO
84,31538,peter schlemihl's wunders,"Chamisso, Adelbert von",65.0,1694,Peter Schlemihl,Adelbert von CHAMISSO
85,3732,Wolfville,"Lewis, Alfred Henry",62.0,516,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER
86,18964,Wolf Breed,"Gregory, Jackson",57.0,516,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER
87,981,Beowulf,,55.0,516,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER
88,19633,Beowulf,,55.0,516,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER
89,24426,Iole,"Chambers, Robert W. (Robert William)",50.0,516,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER
90,940,the last of the mohicans;,"Cooper, James Fenimore",72.0,1973,"Last of the Mohicans, The",James Fenimore COOPER
91,27681,the last of the mohicans:,"Cooper, James Fenimore",72.0,1973,"Last of the Mohicans, The",James Fenimore COOPER
92,29306,afloat on the ohio: an hi,"Thwaites, Reuben Gold",64.0,1973,"Last of the Mohicans, The",James Fenimore COOPER
93,35352,papers of the american ne,"Steward, T. G. (Theophilus Gould)",64.0,1973,"Last of the Mohicans, The",James Fenimore COOPER
94,2057,The Last of the Plainsmen,"Grey, Zane",64.0,1973,"Last of the Mohicans, The",James Fenimore COOPER
95,46152,The Last Ditch,"Comfort, Will Levington",76.0,2312,The Water Witch,"COOPER, James Fenimore"
96,31841,The Water Eater,"Marks, Winston K.",73.0,2312,The Water Witch,"COOPER, James Fenimore"
97,25005,The Shadow Witch,"Crownfield, Gertrude",71.0,2312,The Water Witch,"COOPER, James Fenimore"
98,41129,The Way to Win,"Le Queux, William",69.0,2312,The Water Witch,"COOPER, James Fenimore"
99,37578,The Later Life,"Couperus, Louis",69.0,2312,The Water Witch,"COOPER, James Fenimore"
100,40836,The Mysterious Three,"Le Queux, William",70.0,898,"Mysterious Hand, The",Augustus Jacob CRANDOLPH
101,8993,The Mysterious Island,"Verne, Jules",68.0,898,"Mysterious Hand, The",Augustus Jacob CRANDOLPH
102,1268,The Mysterious Island,"Verne, Jules",68.0,898,"Mysterious Hand, The",Augustus Jacob CRANDOLPH
103,33973,"the mysterious wanderer, ","Reeve, Sophia",67.0,898,"Mysterious Hand, The",Augustus Jacob CRANDOLPH
104,39425,"the mysterious wanderer, ","Reeve, Sophia",67.0,898,"Mysterious Hand, The",Augustus Jacob CRANDOLPH
105,29773,Legends of the Wailuku,"Hapai, Charlotte",81.0,2220,Legends of the Lakes,Thomas Crofton CROKER
106,20496,Legends of the Rhine,"Ruland, Wilhelm",80.0,2220,Legends of the Lakes,Thomas Crofton CROKER
107,43231,Legends of the Bastille,"Funck-Brentano, Frantz",79.0,2220,Legends of the Lakes,Thomas Crofton CROKER
108,8122,Legends of the Northwest,"Gordon, Hanford Lennox",77.0,2220,Legends of the Lakes,Thomas Crofton CROKER
109,45210,legends of the pike's pea,"Whitney, Ernest",76.0,2220,Legends of the Lakes,Thomas Crofton CROKER
110,38960,the traditional text of t,"Burgon, John William",76.0,1614,traditional tales of the ,Allan CUNNINGHAM
111,41728,the traditional games of ,"Gomme, Alice Bertha",76.0,1614,traditional tales of the ,Allan CUNNINGHAM
112,41727,the traditional games of ,"Gomme, Alice Bertha",76.0,1614,traditional tales of the ,Allan CUNNINGHAM
113,12545,traditions of the tinguia,"Cole, Fay-Cooper",72.0,1614,traditional tales of the ,Allan CUNNINGHAM
114,20828,traditions of the north a,"Jones, James Athearn",72.0,1614,traditional tales of the ,Allan CUNNINGHAM
115,28633,Paul Jones,"Hapgood, Hutchins",100.0,1975,Paul Jones,Allan CUNNINGHAM
116,12447,Pauline,"Sand, George",71.0,1975,Paul Jones,Allan CUNNINGHAM
117,6332,Playful Poems,,70.0,1975,Paul Jones,Allan CUNNINGHAM
118,11031,Samuel Johnson,"Stephen, Leslie",67.0,1975,Paul Jones,Allan CUNNINGHAM
119,47961,Natural Wonders,"Brewster, Edwin Tenney",64.0,1975,Paul Jones,Allan CUNNINGHAM
120,29624,Sir Walter Scott,"Saintsbury, George",73.0,2140,Sir Michael Scott,Allan CUNNINGHAM
121,8987,Michael Strogoff,"Verne, Jules",61.0,2140,Sir Michael Scott,Allan CUNNINGHAM
122,18129,South with Scott,"Mountevans, Edward Ratcliffe Garth Russell Evans, baron",61.0,2140,Sir Michael Scott,Allan CUNNINGHAM
123,17444,General Scott,"Wright, Marcus Joseph",60.0,2140,Sir Michael Scott,Allan CUNNINGHAM
124,35116,Saint Michael: A Romance,"Werner, E.",59.0,2140,Sir Michael Scott,Allan CUNNINGHAM
125,9840,Vivian Grey,"Disraeli, Benjamin, Earl of Beaconsfield",100.0,1978,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI"
126,50659,Vivian's Lesson,"Grierson, Elizabeth W. (Elizabeth Wilson)",62.0,1978,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI"
127,6013,Viola Gwyn,"McCutcheon, George Barr",57.0,1978,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI"
128,767,Agnes Grey,"Brontë, Anne",57.0,1978,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI"
129,46664,William Harvey,"Powers, D'Arcy",56.0,1978,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI"
130,7816,the voyage of captain pop,"Disraeli, Benjamin, Earl of Beaconsfield",84.0,2145,voyage of captain popanil,"Benjamin, Earl of Beaconsfield DISRAELI"
131,6721,the voyages of captain sc,"Turley, Charles",72.0,2145,voyage of captain popanil,"Benjamin, Earl of Beaconsfield DISRAELI"
132,12388,the courage of captain pl,"Curwood, James Oliver",72.0,2145,voyage of captain popanil,"Benjamin, Earl of Beaconsfield DISRAELI"
133,25144,a voyage with captain dyn,"Rich, Charles Edward",68.0,2145,voyage of captain popanil,"Benjamin, Earl of Beaconsfield DISRAELI"
134,23610,voyages du capitaine robe,"Prévost, abbé",68.0,2145,voyage of captain popanil,"Benjamin, Earl of Beaconsfield DISRAELI"
135,9149,The Gray Dawn,"White, Stewart Edward",37.0,2404,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
136,9463,The Under Dog,"Smith, Francis Hopkinson",37.0,2404,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
137,20008,The Young Duke,"Disraeli, Benjamin, Earl of Beaconsfield",36.0,2404,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
138,43114,The Gold Kloof,"Bryden, H. A. (Henry Anderson)",36.0,2404,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
139,17887,The Green Door,"Freeman, Mary Eleanor Wilkins",36.0,2404,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
140,12448,L'Orco,"Sand, George",36.0,2558,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
141,5331,NATURAE,Dom,33.0,2558,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
142,17533,Le Rêve,"Zola, Émile",33.0,2558,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
143,16186,A Little Rebel,Duchess,32.0,2558,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
144,47624,A Lady of Rome,"Crawford, F. Marion (Francis Marion)",32.0,2558,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
145,5331,NATURAE,Dom,43.0,3011,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
146,32366,Et Aar,"Nielsen, Antonius",31.0,3011,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
147,39952,The Iowa,"Foster, Thomas, of Washington, D.C.",27.0,3011,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
148,39542,The Alps,"Conway, William Martin, Sir",27.0,3011,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
149,41798,Van Eyck,"Weale, J. Cyril M. (James Cyril M.)",27.0,3011,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]"
150,18752,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100.0,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
151,3714,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100.0,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
152,2825,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100.0,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
153,9051,Sanine,"Artsybashev, M. (Mikhail)",67.0,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
154,19918,Uni,"Hytönen, Sulo M.",67.0,1340,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
155,2824,sintram and his companion,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",100.0,1468,sintram and his companion,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
156,2704,washington and his comrad,"Wrong, George McKinnon",68.0,1468,sintram and his companion,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
157,34679,jonathan and his continen,"Allyn, Jack",68.0,1468,sintram and his companion,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
158,11702,washington and his collea,"Ford, Henry Jones",64.0,1468,sintram and his companion,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
159,29733,the farmer and his commun,"Sanderson, Dwight",64.0,1468,sintram and his companion,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
160,38645,Minstrel Weather,"Storm, Marian",62.0,1547,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
161,543,Main Street,"Lewis, Sinclair",58.0,1547,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
162,10185,Minstrel Potpourri,Edison Minstrels,58.0,1547,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
163,45709,Montrose,"Morris, Mowbray",57.0,1547,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
164,16733,Montlivet,"Smith, Alice Prescott",55.0,1547,Minstrel-Love,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
165,7045,Marching Men,"Anderson, Sherwood",59.0,1887,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
166,23625,The Magic Pudding,"Lindsay, Norman",56.0,1887,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
167,1307,The Magic Skin,"Balzac, Honoré de",55.0,1887,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
168,48032,the magic ring and other ,,55.0,1887,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
169,46480,Magic and Religion,"Lang, Andrew",55.0,1887,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;"
170,47485,Moral Tales,"Guizot, Madame (Elisabeth Charlotte Pauline)",55.0,1165,"Majolo, The",John GALT
171,26057,Marjorie,"McCarthy, Justin H. (Justin Huntly)",53.0,1165,"Majolo, The",John GALT
172,20794,Majoor Frans,"Bosboom-Toussaint, A. L. G. (Anna Louisa Geertruida)",52.0,1165,"Majolo, The",John GALT
173,24709,Bamboo Tales,"Reeves, Ira L. (Ira Louis)",52.0,1165,"Majolo, The",John GALT
174,23083,Majoor Frans,"Bosboom-Toussaint, A. L. G. (Anna Louisa Geertruida)",52.0,1165,"Majolo, The",John GALT
175,47340,Earthquakes,"Pakiser, Louis",77.0,1470,"Earthquake, The",John GALT
176,33642,Earth Alert!,"Neville, Kris",52.0,1470,"Earthquake, The",John GALT
177,36080,A Fortunate Term,"Brazil, Angela",52.0,1470,"Earthquake, The",John GALT
178,29376,Bahnwärter Thiel,"Hauptmann, Gerhart",52.0,1470,"Earthquake, The",John GALT
179,20288,Edward the Second,"Marlowe, Christopher",50.0,1470,"Earthquake, The",John GALT
180,5438,Glenloch Girls,"Remick, Grace May",55.0,1471,Glenfell,John GALT
181,26956,Alien Offer,"Sevcik, Al",53.0,1471,Glenfell,John GALT
182,12869,Metella,"Sand, George",53.0,1471,Glenfell,John GALT
183,20676,Genesis,,53.0,1471,Glenfell,John GALT
184,48801,Il Re bello,"Palazzeschi, Aldo",53.0,1471,Glenfell,John GALT
185,38013,Animals of the Past,"Lucas, Frederic A. (Frederic Augustus)",82.0,1549,Annals of the Parish,John GALT
186,1310,the annals of the parish:,"Galt, John",80.0,1549,Annals of the Parish,John GALT
187,19671,The Annals of the Poor,"Richmond, Legh",76.0,1549,Annals of the Parish,John GALT
188,22258,Tales of the Caliph,"Crellin, H. N. (Horatio Nelson)",72.0,1549,Annals of the Parish,John GALT
189,41398,generals of the british a,,71.0,1549,Annals of the Parish,John GALT
190,1384,the ayrshire legatees; or,"Galt, John",68.0,1550,"Ayrshire Legatees, The",John GALT
191,17799,"yorkshire ditties, second","Hartley, John",60.0,1550,"Ayrshire Legatees, The",John GALT
192,18176,yorkshire tales. third se,"Hartley, John",60.0,1550,"Ayrshire Legatees, The",John GALT
193,17999,The Chief Legatee,"Green, Anna Katharine",56.0,1550,"Ayrshire Legatees, The",John GALT
194,44852,Yorkshire Battles,"Lamplough, Edward",56.0,1550,"Ayrshire Legatees, The",John GALT
195,1296,The Provost,"Galt, John",61.0,1621,"Provost, The",John GALT
196,21693,Post Haste,"Ballantyne, R. M. (Robert Michael)",55.0,1621,"Provost, The",John GALT
197,40696,Who Goes There!,"Chambers, Robert W. (Robert William)",52.0,1621,"Provost, The",John GALT
198,33548,Prosastücke,"Walser, Robert",52.0,1621,"Provost, The",John GALT
199,16685,Private Peat,"Peat, Harold Reginald",50.0,1621,"Provost, The",John GALT
200,49086,life and letters of thoma,"Merriman, Roger Bigelow",60.0,1622,"sir andrew wylie, of that",John GALT
201,5799,life and letters of thoma,"Huxley, Thomas Henry",60.0,1622,"sir andrew wylie, of that",John GALT
202,7338,studies in the life of th,"Sell, Henry T. (Henry Thorne)",60.0,1622,"sir andrew wylie, of that",John GALT
203,5084,life and letters of thoma,"Huxley, Thomas Henry",60.0,1622,"sir andrew wylie, of that",John GALT
204,37230,frauds and follies of the,"Wheeler, J. M. (Joseph Mazzini)",60.0,1622,"sir andrew wylie, of that",John GALT
205,32594,Stalemate,"Wells, Basil",58.0,1623,"Steam-Boat, The",John GALT
206,26957,Star Mother,"Young, Robert F.",54.0,1623,"Steam-Boat, The",John GALT
207,30334,Ultima Thule,"Reynolds, Mack",52.0,1623,"Steam-Boat, The",John GALT
208,33691,Sandman Time,"Gaylord, Ilsien Nathalie",52.0,1623,"Steam-Boat, The",John GALT
209,1285,"the water goats, and othe","Butler, Ellis Parker",50.0,1623,"Steam-Boat, The",John GALT
210,13793,En famille,"Malot, Hector",57.0,1701,"Entail, The",John GALT
211,30320,Trail Tales,"Gillilan, James David",55.0,1701,"Entail, The",John GALT
212,30876,Eternal Life,"Drummond, Henry",52.0,1701,"Entail, The",John GALT
213,30334,Ultima Thule,"Reynolds, Mack",52.0,1701,"Entail, The",John GALT
214,30134,Elementary Theosophy,"Rogers, L. W. (Louis William)",52.0,1701,"Entail, The",John GALT
215,6522,Fruit-Gathering,"Tagore, Rabindranath",62.0,1702,"Gathering, The",John GALT
216,15485,Catharine,"Adams, Nehemiah",61.0,1702,"Gathering, The",John GALT
217,5008,Katherine's Sheaves,"Sheldon, Georgie, Mrs.",61.0,1702,"Gathering, The",John GALT
218,40842,A Watcher in The Woods,"Sharp, Dallas Lore",61.0,1702,"Gathering, The",John GALT
219,15523,Getting Together,"Hay, Ian",60.0,1702,"Gathering, The",John GALT
220,30749,"ringan gilhaize, or, the ","Galt, John",65.0,1703,Ringan Gilhaize,John GALT
221,46302,Riding and Driving,"Anderson, Edward L.",55.0,1703,Ringan Gilhaize,John GALT
222,26670,Making a Fireplace,"Saylor, Henry H. (Henry Hodgman)",55.0,1703,Ringan Gilhaize,John GALT
223,28530,Kings in Exile,"Roberts, Charles G. D., Sir",55.0,1703,Ringan Gilhaize,John GALT
224,6649,Einige Gedichte,"Schiller, Friedrich",53.0,1703,Ringan Gilhaize,John GALT
225,18719,Space Tug,"Leinster, Murray",55.0,1704,"Spaewife, The",John GALT
226,21103,Sisters Three,"Vaizey, George de Horne, Mrs.",54.0,1704,"Spaewife, The",John GALT
227,29329,Sandwiches,"Rorer, S. T.",52.0,1704,"Spaewife, The",John GALT
228,29027,Spawn of the Comet,"Rich, H. Thompson (Harold Thompson)",52.0,1704,"Spaewife, The",John GALT
229,6120,Soldiers Three,"Kipling, Rudyard",52.0,1704,"Spaewife, The",John GALT
230,27838,A Bachelor's Dream,Duchess,63.0,1796,"Bachelor's Wife, The",John GALT
231,49861,A Bachelor's Comedy,"Buckrose, J. E.",62.0,1796,"Bachelor's Wife, The",John GALT
232,4767,The Mayor's Wife,"Green, Anna Katharine",61.0,1796,"Bachelor's Wife, The",John GALT
233,36295,The Pastor's Wife,"Von Arnim, Elizabeth",59.0,1796,"Bachelor's Wife, The",John GALT
234,33565,The Bachelors: A Novel,"Orcutt, William Dana",57.0,1796,"Bachelor's Wife, The",John GALT
235,13318,Runoelmia,"Cajander, Paavo Emil",59.0,1797,Rothelan,John GALT
236,16395,Runoelmia,"Kramsu, Kaarlo",59.0,1797,Rothelan,John GALT
237,45897,Runoelmia,"Keats, John",59.0,1797,Rothelan,John GALT
238,29708,Runoelmia,"Mäkinen, Antti",59.0,1797,Rothelan,John GALT
239,20422,Runoelmia,"Goethe, Johann Wolfgang von",59.0,1797,Rothelan,John GALT
240,26882,"Omega, the Man","Morrow, Lowell Howard",61.0,1888,"Omen, The",John GALT
241,32840,One Of Them,"Lever, Charles James",60.0,1888,"Omen, The",John GALT
242,21883,We Three,"Morris, Gouverneur",59.0,1888,"Omen, The",John GALT
243,20380,Ten Tales,"Coppée, François",56.0,1888,"Omen, The",John GALT
244,23010,"Gulmore, The Boss","Harris, Frank",54.0,1888,"Omen, The",John GALT
245,49780,Tales of the birds,"Fowler, W. Warde (William Warde)",68.0,1984,"Last of the Lairds, The",John GALT
246,30193,East of the Shadows,"Barclay, Hubert, Mrs.",67.0,1984,"Last of the Lairds, The",John GALT
247,2057,The Last of the Plainsmen,"Grey, Zane",67.0,1984,"Last of the Lairds, The",John GALT
248,4233,Jeanne of the Marshes,"Oppenheim, E. Phillips (Edward Phillips)",64.0,1984,"Last of the Lairds, The",John GALT
249,16764,"history of the wars, book",Procopius,63.0,1984,"Last of the Lairds, The",John GALT
