,0,1,2,3,4,5,6
0,23728,Walter and the Wireless,"Bassett, Sara Ware",67.0,﻿2043,Walter the Murderer,C. A. BOLEN
1,24594,letter to the reverend mr,"English, George Bethune",64.0,﻿2043,Walter the Murderer,C. A. BOLEN
2,23059,My Friend The Murderer,"Doyle, Arthur Conan",63.0,﻿2043,Walter the Murderer,C. A. BOLEN
3,20909,Under the Tree,"Roberts, Elizabeth Madox",61.0,﻿2043,Walter the Murderer,C. A. BOLEN
4,20859,Wandl the Invader,"Cummings, Ray",61.0,﻿2043,Walter the Murderer,C. A. BOLEN
5,48492,cremation of the dead: it,"Eassie, William",76.0,1774,revelations of the dead-a,John BANIM
6,28064,the relations of the fede,"Edgerton, Joseph K. (Joseph Ketchum)",76.0,1774,revelations of the dead-a,John BANIM
7,36587,a true relation of the ap,"Defoe, Daniel",72.0,1774,revelations of the dead-a,John BANIM
8,42717,regulations for the estab,Anonymous,72.0,1774,revelations of the dead-a,John BANIM
9,18809,recollections of the late,"Lansdown, Henry Venn",68.0,1774,revelations of the dead-a,John BANIM
10,8921,Waldwinkel,"Storm, Theodor",71.0,1455,Baldwin,Richard Harris BARHAM
11,51662,Breakdown,"Kastle, Herbert D.",63.0,1455,Baldwin,Richard Harris BARHAM
12,14311,Bailén,"Pérez Galdós, Benito",62.0,1455,Baldwin,Richard Harris BARHAM
13,13454,Aylwin,"Watts-Dunton, Theodore",62.0,1455,Baldwin,Richard Harris BARHAM
14,26289,Walden,"Thoreau, Henry David",62.0,1455,Baldwin,Richard Harris BARHAM
15,5331,NATURAE,Dom,46.0,3001,VATHEK,"[BECKFORD, William]"
16,27466,El Kab,"Quibell, James Edward",33.0,3001,VATHEK,"[BECKFORD, William]"
17,7843,The Happy End,"Hergesheimer, Joseph",32.0,3001,VATHEK,"[BECKFORD, William]"
18,31981,The Eel,"DeFord, Miriam Allen",31.0,3001,VATHEK,"[BECKFORD, William]"
19,33178,The Holy Earth,"Bailey, L. H. (Liberty Hyde)",30.0,3001,VATHEK,"[BECKFORD, William]"
20,36289,"ormond; or, the secret wi","Brown, Charles Brockden",96.0,18,ormond; or the secret wit,Charles Brockden BROWN
21,36291,"ormond; or, the secret wi","Brown, Charles Brockden",96.0,18,ormond; or the secret wit,Charles Brockden BROWN
22,36290,"ormond; or, the secret wi","Brown, Charles Brockden",96.0,18,ormond; or the secret wit,Charles Brockden BROWN
23,14425,"mona; or, the secret of a","Sheldon, Georgie, Mrs.",76.0,18,ormond; or the secret wit,Charles Brockden BROWN
24,2417,okewood of the secret ser,"Williams, Valentine",68.0,18,ormond; or the secret wit,Charles Brockden BROWN
25,49430,Artturi Berkow,"Werner, E.",59.0,235,Arthur Mervyn,Charles Brockden BROWN
